run_id,run_dir,run_index,livello,tbt_dirname,params_da_host,params_trovato,chain_name,target_block_time,setup_first_blocks,mining_diversity,mining_turnover,weight_epoch_length,weight_kappa,weight_alpha,weight_lambda,wpoa_sortition_delta,wpoa_sortition_lambda,wpoa_randao_lookback,dump_function,enable_wpoa,enable_wpoa_selection,enable_wpoa_sortition,enable_wpoa_malus,enable_weight_engine,minimum_relay_fee,first_block_reward,setupblocks_getinfo,chainname_getinfo,protocolversion,tbt,tbt_params,tbt_mismatch,setup_blocks,setup_mismatch,epoch_len,mining_diversity_val,delta,lambda_sortition,rtt_max_ms,stato,note,malus_events_found,blocchi_misurati,fork_verdetto,path
run3-tbt-5s/nazionale,run3-tbt-5s,3,nazionale,5,admin,True,poesianazionale,5,98,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,98,poesianazionale,20014,5,5,0,98,0,12,0.0,0.5,0.2,22.0,completa,,0,317,nessun fork,/home/mattu/multichain/shadow/esperimenti/run3-tbt-5s/nazionale
run3-tbt-5s/regionale,run3-tbt-5s,3,regionale,5,admin,True,poesiaregionale,5,98,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,98,poesiaregionale,20014,5,5,0,98,0,12,0.0,0.5,0.2,10.0,completa,,0,318,nessun fork,/home/mattu/multichain/shadow/esperimenti/run3-tbt-5s/regionale
run4-tbt-3s/continentale,run4-tbt-3s,4,continentale,3,admin,True,poesiacontinentale,3,144,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,144,poesiacontinentale,20014,3,3,0,144,0,12,0.0,0.5,0.2,44.7,completa,,0,393,ritardo di propagazione,/home/mattu/multichain/shadow/esperimenti/run4-tbt-3s/continentale
run4-tbt-3s/intercontinentale,run4-tbt-3s,4,intercontinentale,3,admin,True,poesiaintercontinentale,3,144,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,144,poesiaintercontinentale,20014,3,3,0,144,0,12,0.0,0.5,0.2,112.0,completa,,0,391,ritardo di propagazione,/home/mattu/multichain/shadow/esperimenti/run4-tbt-3s/intercontinentale
run4-tbt-3s/nazionale,run4-tbt-3s,4,nazionale,3,admin,True,poesianazionale,3,144,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,144,poesianazionale,20014,3,3,0,144,0,12,0.0,0.5,0.2,22.0,completa,,0,385,ritardo di propagazione,/home/mattu/multichain/shadow/esperimenti/run4-tbt-3s/nazionale
run4-tbt-3s/regionale,run4-tbt-3s,4,regionale,3,admin,True,poesiaregionale,3,144,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,144,poesiaregionale,20014,3,3,0,144,0,12,0.0,0.5,0.2,10.0,completa,,0,387,nessun fork,/home/mattu/multichain/shadow/esperimenti/run4-tbt-3s/regionale
run5-tbt-2s/continentale,run5-tbt-2s,5,continentale,2,admin,True,poesiacontinentale,2,200,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,200,poesiacontinentale,20014,2,2,0,200,0,12,0.0,0.5,0.2,44.7,completa,,0,451,ritardo di propagazione,/home/mattu/multichain/shadow/esperimenti/run5-tbt-2s/continentale
run5-tbt-2s/intercontinentale,run5-tbt-2s,5,intercontinentale,2,admin,True,poesiaintercontinentale,2,200,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,200,poesiaintercontinentale,20014,2,2,0,200,0,12,0.0,0.5,0.2,112.0,completa,,0,455,corsa al tip,/home/mattu/multichain/shadow/esperimenti/run5-tbt-2s/intercontinentale
run5-tbt-2s/nazionale,run5-tbt-2s,5,nazionale,2,admin,True,poesianazionale,2,200,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,200,poesianazionale,20014,2,2,0,200,0,12,0.0,0.5,0.2,22.0,completa,,0,459,nessun fork,/home/mattu/multichain/shadow/esperimenti/run5-tbt-2s/nazionale
run5-tbt-2s/regionale,run5-tbt-2s,5,regionale,2,admin,True,poesiaregionale,2,200,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,200,poesiaregionale,20014,2,2,0,200,0,12,0.0,0.5,0.2,10.0,completa,,0,458,nessun fork,/home/mattu/multichain/shadow/esperimenti/run5-tbt-2s/regionale
