height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
520,00f8937b4d76981db0fa86e0a629f0745941d3c86de129426f3aebecd11d5dc4,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690307,6,78,6,0
521,007ecd70ce553aec2d75a4bc17d5a797778956ed5b3979e9647a9dc0945a7185,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690318,6,77,6,0
522,003a16bb82afd0a2e4efe6bba8a10fd3a2fba390d94726ea2535740da0992425,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690332,6,76,6,0
523,00ad4c2df5df1c6f711dc04ee72569d807d74f554325e5621e1d07aee460a921,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690340,3,75,6,0
524,00d5772a970083f9ea90d8cc045eba5335cc5fdbffd7eddd8802d6a6b260f534,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690349,5,74,6,0
525,0031154fa9cf241efc53aeadbb8e92b5db96ecb8a051c529321063923c984efa,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690362,7,73,6,0
526,00568dffc6a3dbf51ae78432c07eefb8e116a80395bdf92789b7ffd9d68060e9,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690376,6,72,6,0
527,00198e1f91c3eeeacead60091aba1cf6568ad9faf1528e417270f4faae04a392,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690387,4,71,6,0
528,008e3ea745b45e336fb08d2a5f2fc89136483e16d94f908404415ddae3573169,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690399,6,70,6,0
529,008bd0b6a3bf8e0823dc1bf34f8ca855245d386523ae1167b00cc6fb06b1ed32,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,m3,946690407,4,69,6,0
530,00bfcee348e5ddebe28abd4fe07b176cfb453883db13d542c74e961fbd1d4885,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,m3,946690422,7,68,6,0
531,00405209fde6f3814bdbbbaa682356866e7356093c5166b6524e7ccbf82a4f6f,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690431,3,67,6,0
532,003245c7941f9b760413643d539635a4940192e6452a0bd3026ce6d13e405162,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690444,6,66,6,0
533,000709f31d13b63b4a6e1e789ec802936fbaa72b8e31e39a317a4de0ed9a91d9,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690454,5,65,6,0
534,00d1267eb992ef0bddc49521b4e4e2d3bca5f9381ba3044522e5045acad983c0,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690470,7,64,6,0
535,0061789fcb8e7db2ea2c6aba94cc2102b3789294de46fe338bd84a96a75317bb,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690477,2,63,6,0
536,00d1b6192c88c4d99aaabda57f80527eabd36658551a513bc3b464755bfc17f3,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690486,6,62,6,0
537,00133486d957f8664b0ffc91a48e3f9d6763eaa3d1e4df9fc5f34a95b8b95160,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690497,4,61,6,0
538,00dbe3fc2a5015354e8ddc38d2ea51b3e630215564af402d44585083f1b04a05,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690504,4,60,6,0
539,00c2e23c248982e44b46c72e0afaac1577b62552496e91a5958054aacd74b168,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690515,3,59,6,0
540,001d4cee1ab492c93b8f9bc5f50749ec3249739a9aacace8781cb717a44fbecc,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690529,7,58,6,0
541,008a86923096b9c41d1528e2c295018151384597a3073d136005c8bb28eab4bb,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690537,4,57,6,0
542,0012e1bbcb36fad06d75302b80ad0019b5ad1a50570426a2fd8f27034c9b0f4b,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690544,5,56,6,0
543,007ba8af879d97c8e07458dcc594d175c70346091aa51a6713ccc407ae64b56f,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690559,5,55,6,0
544,00582307cd97cd222a52e18137cf426f849d70c4cd9b72d6a1096dc1228c9ee1,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690569,6,54,6,0
545,003e4d3466a30d189c03bc6a11c47aef9ca42b2e182aef1eeb0cbf344d8d0902,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690583,6,53,6,0
546,00afdb90e810bd6a02bcd578eae15d8445214e4f3be06499b9c8f039eae1dd1a,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690593,4,52,6,0
547,001cda648ed1b11159675f215f40bfcc8958b59ee5e13ad45dc464b6018a475f,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690606,6,51,6,0
548,001e083afef6215f5203edb73b870363606826ac9279b4a74bd3c8ba6922227d,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690616,5,50,6,0
549,002795809feb98da539a65672683d7a259c75f055a0c15576f04edb07a61f811,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,m3,946690623,3,49,6,0
550,0046418607459cf2a7288fc2eaa2b1e046185a49cd077f6061d3da1bc1fac254,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690630,4,48,6,0
551,00f1faa23e45e7f0d6afebbe3da4c970880227200b9bd568b41dd109850699d5,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690645,5,47,6,0
552,00ae3147802d977a4dc99b49d864ace2f7f9bafedb04a713a0ce9f912a33e628,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690654,4,46,6,0
553,00506face1688b25877b2537074c84077ff0ed20e9e4002c41847434aa823fba,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690666,6,45,6,0
554,007156829d5811fb860135f0c6958c04e12b698df6913632bc5149aa11462cf2,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690677,4,44,6,0
555,0096e4ddeb749324e497a2b987485b8df10018476710211af9066842fea925da,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690687,6,43,6,0
556,007af88f6eb6d6d963599f0a99abdbed5a30d5c9d0688942ca77875c4d39df64,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690699,5,42,6,0
557,007910a0d601ef6e0380ae0395a1e433887b64398ae7cc3ed98d2505991f9c1c,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690713,6,41,6,0
558,00d27772ca3d58427933b6a3c6f55fcfe26bbab046b44ab5e95baba4ec5be1b1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690724,5,40,6,0
559,0005000fd8aa37b8ef77c6e8d9e31702d24779a49f3e1c4869955e2311af12a7,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690732,3,39,6,0
560,00da72b297b5185fb66270a8ae41aa4c900c758f9703713a091a592930d1bd85,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690746,8,38,6,0
561,002647b3bb10aa8721eb90978b41346658fcbce90cfae43c3e090e72ad5a7195,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690752,2,37,6,0
562,0035066abe9acd7147bcb9cadf01730446f05462cd6f5e7bd36f10edee48b01b,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690765,5,36,6,0
563,0068507ad422a08eac0c9bf70688b81b98472872705e1815efe6373ad03c6a78,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690774,5,35,6,0
564,007eb17491016c7a957728fdcde6029ed948569e73e41e4797a2503d1b59377d,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690786,5,34,6,0
565,008299eec472cf99602488b10623fa22546b75a5082c4317db0c6f3c70010072,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690798,5,33,6,0
566,007b3f72cc063512a6d635ef3591b4adcc1396305b90c9ec924f5becebbc2387,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690809,6,32,6,0
567,0025468aff7d49776f703de347d1f769d8ee889fa94b9e99a81334c8be098e25,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690823,7,31,6,0
568,00b426b94b89810a4e40af06a8d01b24e157c13127e1de08e701cea4f1b16cbd,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690831,3,30,6,0
569,00726491a0e580049dd03d1fb83f45d7697bc9e9bc2cc52eea8424508888355a,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690846,6,29,6,0
570,00ed839bd616817b726cf80aec8e47f1b7a395838a10b468b6d7e7032d7359c4,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690861,6,28,6,0
571,0011edf97087f4606376c6ff3ffacace6367466f403b1c71e8e3705080e01e87,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690868,4,27,6,0
572,0004c2e5133aa41a3bb45b1d9e5cd40575a59f0703714cc51f383f3017442b6d,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690882,6,26,6,0
