height,epoch,in_setup,host,address,score_raw,delay_logged_s,start_in_s,log_timestamp,duplicate_index,source_file,source_line
168,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,2.46869777e-05,14.600,14.600,2000-01-01 00:28:23,0,run/data/m3/debug.log,1345
169,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,6.37278061e-07,8.394,8.394,2000-01-01 00:28:34,0,run/data/m1/debug.log,3859
169,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,2.52955766e-05,14.583,14.583,2000-01-01 00:28:35,0,run/data/m2/debug.log,3321
169,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,1.23239123e-05,14.582,14.582,2000-01-01 00:28:35,0,run/data/m3/debug.log,1363
170,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,9.10170356e-07,9.594,9.594,2000-01-01 00:28:43,0,run/data/m1/debug.log,4244
170,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,8.63144271e-06,14.618,14.618,2000-01-01 00:28:44,0,run/data/m2/debug.log,3336
170,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,3.12350354e-05,14.633,14.633,2000-01-01 00:28:44,0,run/data/m3/debug.log,1378
171,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,5.71275239e-07,8.146,8.146,2000-01-01 00:28:53,0,run/data/m1/debug.log,4416
171,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,2.29204296e-06,12.869,12.869,2000-01-01 00:28:54,0,run/data/m2/debug.log,3351
171,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,3.19715427e-06,13.749,13.749,2000-01-01 00:28:54,0,run/data/m3/debug.log,1393
172,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,6.06521961e-07,8.416,8.416,2000-01-01 00:29:02,0,run/data/m1/debug.log,4511
172,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,2.8188128e-06,13.552,13.552,2000-01-01 00:29:03,0,run/data/m2/debug.log,3366
172,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,9.40561573e-06,14.742,14.742,2000-01-01 00:29:03,0,run/data/m3/debug.log,1408
173,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,4.14216715e-08,5.124,5.124,2000-01-01 00:29:10,0,run/data/m1/debug.log,4834
173,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,1.29271618e-05,14.816,14.816,2000-01-01 00:29:11,0,run/data/m2/debug.log,3381
173,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,4.9541084e-06,14.577,14.577,2000-01-01 00:29:12,0,run/data/m3/debug.log,1423
174,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,1.10233429e-06,10.539,10.539,2000-01-01 00:29:16,0,run/data/m1/debug.log,5466
174,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,3.00071868e-07,6.922,6.922,2000-01-01 00:29:17,0,run/data/m2/debug.log,3396
174,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,1.03824522e-05,14.896,14.896,2000-01-01 00:29:17,0,run/data/m3/debug.log,1438
175,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,2.5834262e-06,13.454,13.454,2000-01-01 00:29:26,0,run/data/m1/debug.log,5481
175,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,8.03397415e-06,14.860,14.860,2000-01-01 00:29:25,0,run/data/m2/debug.log,3589
175,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,2.38951905e-05,14.883,14.883,2000-01-01 00:29:26,0,run/data/m3/debug.log,1453
176,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,8.41992529e-06,14.882,14.882,2000-01-01 00:29:40,0,run/data/m1/debug.log,5904
176,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,2.52519867e-06,13.406,13.406,2000-01-01 00:29:40,0,run/data/m2/debug.log,4083
176,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,2.07985648e-05,14.900,14.900,2000-01-01 00:29:41,0,run/data/m3/debug.log,1484
177,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,1.70627899e-06,12.116,12.116,2000-01-01 00:29:56,0,run/data/m1/debug.log,5939
177,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,8.07339345e-06,14.860,14.860,2000-01-01 00:29:54,0,run/data/m2/debug.log,4139
177,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,1.41836883e-05,14.883,14.883,2000-01-01 00:29:56,0,run/data/m3/debug.log,1503
178,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,6.86225744e-06,14.676,14.676,2000-01-01 00:30:09,0,run/data/m1/debug.log,6077
178,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,9.97003648e-06,14.728,14.728,2000-01-01 00:30:10,0,run/data/m2/debug.log,4154
178,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,2.74008764e-05,14.733,14.733,2000-01-01 00:30:10,0,run/data/m3/debug.log,1518
179,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,5.93701401e-08,5.187,5.187,2000-01-01 00:30:24,0,run/data/m1/debug.log,6324
179,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,2.70879301e-06,13.449,13.449,2000-01-01 00:30:25,0,run/data/m2/debug.log,4169
179,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,4.10008256e-05,14.750,14.750,2000-01-01 00:30:25,0,run/data/m3/debug.log,1533
180,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,3.12254241e-07,6.962,6.962,2000-01-01 00:30:30,0,run/data/m1/debug.log,6417
180,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,2.7281108e-07,6.723,6.723,2000-01-01 00:30:31,0,run/data/m2/debug.log,4187
