height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
158,001a29c0bb0e1600bd669ba55dd1c0dde9b78a62f048ccf03a601119b6873d5a,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687166,7,16,14,0
159,0012a26d768bbc8467aaa3caefda90e4180f728c55422d6d4cd27d6b2f8d0b17,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687188,8,15,14,0
160,00705b63513f54a01cbc3b5003e906db890c2ffa855be31b7d563abbbd4128b5,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687203,7,14,14,0
161,000c7a6d80a1695b1691f03e8ff3ba84600bb27c5211b1db71e6b1e595322c84,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687215,5,13,14,0
162,0078410cb48c84c5a3e24232cbda97d300942227681b07fc78db8c1b50187264,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687228,9,12,14,0
163,00aa955a6c86467c78ccacb7930380c6ee556a07dc35e3a67005d37d52e4b235,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946687247,9,11,14,0
164,0032ec5e375573020219fcebbe9bcd0b4436f1f83c91a5e3a4ee7c6fc5d159d2,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946687258,4,10,14,0
165,00d7eccdba39b971b8790c3410549ea7f2e5934bffd14ce4585340957cdfd9b4,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946687280,9,9,14,0
166,007f620c9b980e41ab519d8f1f8352aee95e561d47cc40f4e0b8852546884a61,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946687303,11,8,14,0
167,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946687313,3,7,14,0
168,00249a366262c534e00821032b0e3efb4316d4dc4b08006306486c57bf94ebb9,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687331,7,6,15,0
169,00548cfe4ecb54312ab2335017334d5b321e2f54863d4230b3757a2172d0e548,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687341,9,5,15,0
170,0058b69473892615388e81e264d581f9e35b4bfc3946618b738cb8e3d7ac02b7,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687355,7,4,15,0
171,005f2d65d2ea4f670f0512791e0c30b589e00a4e510f867bd5c5edddd954e49a,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946687368,7,3,15,0
172,00db2c5451e2c5654c61eccd6ea656616e88d6b15c1bcf52e7199fcb0a0f46f1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687389,8,2,15,0
173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687411,8,1,15,0
