experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_host,validator_address,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,MissedTurnRate,MissedTurnRate_note,n_rounds_won_not_argmin,blocks_won
run2-tbt-10s,continentale,1,10,none,true,24,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,8,0,0.0,,1,9
run2-tbt-10s,continentale,1,10,none,true,24,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,2,0,0.0,,0,2
run2-tbt-10s,continentale,1,10,none,true,25,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,2,0,0.0,,0,2
run2-tbt-10s,continentale,1,10,none,true,25,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,7,0,0.0,,0,7
run2-tbt-10s,continentale,1,10,none,true,25,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0,0.0,,0,3
run2-tbt-10s,continentale,1,10,none,true,26,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,2,1,0.5,,0,1
run2-tbt-10s,continentale,1,10,none,true,26,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,8,0,0.0,,3,11
run2-tbt-10s,continentale,1,10,none,true,26,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,2,2,1.0,,0,0
run2-tbt-10s,continentale,1,10,none,true,27,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,3,0,0.0,,1,4
run2-tbt-10s,continentale,1,10,none,true,27,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,4,0,0.0,,0,4
run2-tbt-10s,continentale,1,10,none,true,27,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,5,1,0.2,,0,4
run2-tbt-10s,continentale,1,10,none,true,28,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run2-tbt-10s,continentale,1,10,none,true,28,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,1,1,1.0,,0,0
run2-tbt-10s,continentale,1,10,none,true,28,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,0,0,,not computable: never the theoretical argmin in this epoch,1,1
run2-tbt-10s,continentale,1,10,none,true,all,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,26,8,0.30769231,,2,20
run2-tbt-10s,continentale,1,10,none,true,all,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,160,5,0.03125,,17,172
run2-tbt-10s,continentale,1,10,none,true,all,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,74,11,0.14864865,,5,68
