experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,validator_i_host,validator_j_host,note
run4-tbt-3s,continentale,1,3,none,true,24,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,,1.01129029,11,0,12,m1,m2,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,24,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,2.39789527,1.88587619,11,1,12,m1,m3,
run4-tbt-3s,continentale,1,3,none,true,24,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.8745859,0,1,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,25,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,,1.00312197,10,0,12,m1,m2,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,25,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,1.60943791,1.94807227,10,2,12,m1,m3,
run4-tbt-3s,continentale,1,3,none,true,25,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.94495029,0,2,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,26,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,2.39789527,0.87469122,11,1,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,26,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.61573158,11,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,26,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.74104035,1,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,27,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,0.55961579,1.06191744,7,4,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,27,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,1.94591015,2.01478544,7,1,12,m1,m3,
run4-tbt-3s,continentale,1,3,none,true,27,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,1.38629436,0.952868,4,1,12,m2,m3,
run4-tbt-3s,continentale,1,3,none,true,28,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,0.0,1.01292979,6,6,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,28,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,2.10465495,6,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,28,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.09172515,6,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,29,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1.09861229,1.10707243,9,3,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,29,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.83423777,9,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,29,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.72716535,3,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,30,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,0.33647224,0.93576143,7,5,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,30,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.93559438,7,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,30,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.99983295,5,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,31,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,2.39789527,0.97492279,11,1,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,31,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,2.05991455,11,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,31,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.08499176,1,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,32,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,0.98082925,1.11188243,8,3,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,32,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,2.07944154,1.96359724,8,1,12,m1,m3,
run4-tbt-3s,continentale,1,3,none,true,32,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,1.09861229,0.8517148,3,1,12,m2,m3,
run4-tbt-3s,continentale,1,3,none,true,33,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,,1.15274928,12,0,12,m1,m2,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,33,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.78053155,12,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,33,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.62778227,0,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,34,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,2.19722458,1.00456673,9,1,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,34,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,1.5040774,1.86986106,9,2,12,m1,m3,
