tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
160,161,admin,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:29,2,run/data/admin/debug.log,1064
160,161,m1,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:24,3,run/data/m1/debug.log,4435
160,161,m2,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:25,3,run/data/m2/debug.log,5489
160,161,m3,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:25,3,run/data/m3/debug.log,1528
161,162,admin,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:33,2,run/data/admin/debug.log,1079
161,162,m1,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:29,3,run/data/m1/debug.log,5175
161,162,m2,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:30,3,run/data/m2/debug.log,5504
161,162,m3,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:30,3,run/data/m3/debug.log,1543
162,163,admin,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:37,2,run/data/admin/debug.log,1093
162,163,m1,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:33,3,run/data/m1/debug.log,5830
162,163,m2,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:34,3,run/data/m2/debug.log,5527
162,163,m3,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:34,3,run/data/m3/debug.log,1566
163,164,admin,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:39,2,run/data/admin/debug.log,1107
163,164,m1,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:36,3,run/data/m1/debug.log,6872
163,164,m2,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:37,3,run/data/m2/debug.log,5542
163,164,m3,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:38,3,run/data/m3/debug.log,1581
164,165,admin,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:42,2,run/data/admin/debug.log,1121
164,165,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:38,3,run/data/m1/debug.log,6919
164,165,m2,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:40,3,run/data/m2/debug.log,5557
164,165,m3,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:40,3,run/data/m3/debug.log,1596
165,166,admin,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:45,2,run/data/admin/debug.log,1137
165,166,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:42,3,run/data/m1/debug.log,7624
