height,host,seq,txid_or_error
57,c1,30,42b61b0bf3ae4b48181ef8335c471a586eddc19f76ccb382751e6aca1c3ca666
58,c4,13,890e78cdc6433fd2f085eca561f22f5753c0d9710f64eadf593217db57c15170
58,c3,16,cc99e40c75e067ab4c90a83300f7e14fb4cd3f58aa1378fb0477d86c2c1310b3
58,c2,21,acccff2576fea6b957583d5090f12d78c989ec1bb0d33a67fcb601dc49688f48
58,c1,31,4dc0cb6dd6e1c8e9cb8066813710711095d13e36d5f797e05553d140eee66c66
59,c1,32,04983c14ee2cf409db1f5a0450351f3ea9d2e9d5ddd486e2249636c3fbbb6e4e
59,c5,11,4867f8acf487ea29496bb2cd72b12773bf48ce4e1ebecc634bff9ddb29cef960
59,c2,22,6569b07ab31745b01e884ec0e81afedae5bc2b1960531007b6f1f2985ff2982b
59,c3,17,84d5eeb1fb24e5476584b83120777c22620c054e4793de46e884d577565be450
59,c1,33,838dcdccab7e83c8c94e3e800b1f8992ce8faf844ada80e0a413cef4f4dedb8f
59,c4,14,e91a387a444047f526c5e5b907a91bafc47b7b4e8dd26196f46b202b4c6158e7
60,c2,23,5abad6a62be03d7ae664c9120206ef768de1acc2e82e901616eb2847ccf2b697
60,c1,34,d4b56b36c3a051843a3b01b68b4ed148d9d7ecba0b0509f3881ee215bba16b8e
61,c3,18,1dddce815e2ac4053404a75edfe862bb295ca8d2c0b8073078212a9a7b5a968d
61,c1,35,1b5c795a625dc45dcff1ca5a832a50a8775c5634b9cb792ff7e48fbfe86f4509
61,c5,12,cc01d5c034c469b9d83a729ba6f65cd863e96f4b4364c7a63f2a0cbd8f9d147e
62,c2,24,78ee04a7db33c829d7efb3cdc5ca99924b32aa5eca7fa3afe83db043b62cfd67
62,c4,15,e842be5d4bdceb56fb65b187ca76a9bf319226e2e4faa6a3b1073ae3f088c566
62,c1,36,0bd6b741efa6ee6bbdf1affed523f6e57351f7d2ea14a0d2e12c0fede658f732
63,c3,19,9c0bff161d3b577cad5a1bed073a209e5f163f9fabff0a3f3e4ccd827c855d06
63,c2,25,226ab64dbf5b55e71130986c30a72edf7574f5a3fe333e370a19b0d0edd5e147
63,c1,37,e76a72dd1c4aa7a7851670d919e07edda775526a2a6183ef278382318870d45d
64,c1,38,87fe06a7c2c268640e6cad2104bb90133651298de3d6998327c9154e82de2c2f
64,c5,13,1ad08d3da8ebe3b0dc14ea45ac1084f4634bf07f17450056789a262b8c5e4e88
64,c4,16,6d2a10fb22c55f0fa42f42cf07112ae30dac623d8fde2c18f6b9fcfbde53305f
64,c2,26,01755495c58acfa79956d3509b2619e75647fb5a40ae3e02245b65740bf09dc6
64,c3,20,5a7cb9250edefb08df977dae4786ed5db5bd5e96f7b487f480773d464787d9ee
64,c1,39,738aeca4fb902daa551a8b71a4c9df82d47d5464383c5b080a5b7fa83a9acf2b
65,c2,27,7ff3c59570c89deeaea11a56a382f4e152102a08689df772e2691b9c413ee63f
65,c1,40,a50cab86c0cfd72a192d7a54226ef5c1bf24e226e08efa80646e3823e1fa416c
66,c4,17,f5488c8f6fb4b820c0fab78e2f91fba81adcbd4b94602902b47296cae356e01f
66,c3,21,3e99eaeeec7a20203497567e0b1be94ed8def69df12f2877ce35a55870ba5a1b
66,c1,41,3f7129a8cf965d146afd9ee08ac921d35ea47d62a3d0a40444061584dbce62ae
66,c2,28,0e6617cae021f9e2bed0bd7077e7020274985e7ec4724a418f92ec583fbe569c
66,c5,14,9fe00d3af654665fde93f35e11bf1f15fa0e6dd246ceaaf7ec1de8a1ad954b39
67,c1,42,37ccb618e7d8afaf0e5cc8edaefde9450a88db54b07e4358aff5e753b9e58cd3
68,c3,22,231298c800adcb86ff76fd959d0425c52f6ca6100ceac53e2d9e7fb18f69cecb
68,c2,29,a89447944450f159b6ba2eb18e60a9be590144221e864b7169b3f8f4df987640
68,c1,43,c14531c24be1f32135a7eb22cf8d75eb0012e7a6ee90fd3a7f54ce84f4158efb
68,c4,18,a8343be3b68413fa04b777f87498aeb02d18d199f87f6f25c333c0f7ba097a2c
68,c1,44,260a8ee7998787c2d00b22331f1d77c3669a8951e3b15236d03f1c69b9732c69
68,c2,30,fd4bff90e45f6e4e527fece98eace7b8816b572196a9c6842fed8753d3bf6d82
69,c5,15,cbd362bf66b8c50d9952851488b4cef7f1a95e287a9103b4badf96949d6a83dc
69,c3,23,efb65711b899eaf303d241f7874e5c12c624149c9d3467178ed07220f5d5a98d
69,c1,45,10636b793c5bde530968b9fbb0e20b97e351540e521fbe363990991baaf59f4a
70,c4,19,fd2b30979ba70a01f387b121592cb4c1668abfb7583145f9bd0ed449209d9fbf
70,c2,31,c127ff9a1d7291a1966d607124e5089c40560a03799c97bed8f56e7baad9af09
70,c1,46,01149acb6a035256c784867ab665c226d03c926343745e3c6b68d5fba2ec4014
70,c3,24,8f4a244bdb09a6880f7f0f1123ca37748429686b836d47f52223d7ba1ab3e072
70,c1,47,56d1dfa71386e35945c12ebedb497893b30dbe0a300ccf9abe939834a51642d3
71,c2,32,0a54aa8b8afe1d5b53a6b73607f94e23ccdb766b88401ea134868b4b02861418
71,c5,16,17f12febadf3af788ca61ed8baf6abd65ae6bc4b43836247f51efb477dc640e7
71,c1,48,7f930015befdb991c920bd2e1c661aaefa12ebc060379213fb6eda9cd308b8de
72,c4,20,d3557877888a94b29801eceaef90d0cdfe8f4e85046e090aee3d602fc8fc93df
72,c3,25,b9d1d506c2600b9595460bd0dab8e300b3fd08a5a9bc9bcafe16464e7c910b1b
72,c2,33,e3249560420598db1ef7c7190a6dc6cc37eabfc982d22ef09cf8dff1fd44f8e8
72,c1,49,f9a77a92327e6f7f57ff86e5a9151e408c9ed652216dbbe289f67a16f7d316e4
73,c1,50,e9ad6efc01cee86bae40fd2a5748dbd5f25a462a104fb2708184955b885742de
