sample_height,host,balance_gas
149,m1,109.0934
149,m2,112.3687
149,m3,39.2636
149,ca,49.3564
152,c1,91.5582
152,c2,94.3038
152,c3,95.701
152,c4,96.4816
152,c5,97.1514
152,m1,109.3174
152,m2,112.4809
152,m3,39.2636
152,ca,49.3564
154,c1,91.3336
154,c2,94.1914
154,c3,95.589
154,c4,96.4258
154,c5,97.0954
154,m1,109.6534
154,m2,112.6487
154,m3,39.2636
154,ca,49.3564
157,c1,91.1088
157,c2,94.0232
157,c3,95.477
157,c4,96.3138
157,c5,97.0394
157,m1,110.214
157,m2,112.7611
157,m3,39.2636
157,ca,49.3564
160,c1,90.9404
160,c2,93.9108
160,c3,95.3652
160,c4,96.2578
160,c5,96.9836
160,m1,110.4944
160,m2,113.1535
160,m3,39.2636
160,ca,49.3564
163,c1,90.716
163,c2,93.7422
163,c3,95.2534
163,c4,96.146
163,c5,96.8716
163,m1,110.4944
163,m2,113.4335
163,m3,39.432
163,ca,49.3564
166,c1,90.4912
166,c2,93.5738
166,c3,95.1414
166,c4,96.09
166,c5,96.8156
166,m1,110.4944
166,m2,114.2185
166,m3,39.432
166,ca,49.3564
169,c1,90.2668
169,c2,93.4614
169,c3,95.0294
169,c4,95.978
169,c5,96.7596
169,m1,110.7188
169,m2,114.6673
169,m3,39.432
169,ca,49.3564
171,c1,90.042
171,c2,93.293
171,c3,94.9176
171,c4,95.9222
171,c5,96.7036
171,m1,111.1672
171,m2,114.6673
171,m3,39.432
171,ca,49.3564
174,c1,89.8736
174,c2,93.1808
174,c3,94.8616
174,c4,95.8104
174,c5,96.6476
174,m1,111.1672
174,m2,115.5079
174,m3,39.432
174,ca,49.3564
176,c1,89.649
176,c2,93.0126
176,c3,94.7496
176,c4,95.7544
176,c5,96.5358
176,m1,111.4474
176,m2,115.6763
176,m3,39.432
176,ca,49.3564
179,c1,89.4242
179,c2,92.9004
179,c3,94.6376
179,c4,95.6426
179,c5,96.48
179,m1,111.6714
179,m2,115.6763
179,m3,39.7686
179,ca,49.3564
182,c1,89.1996
182,c2,92.7318
182,c3,94.5258
182,c4,95.5866
182,c5,96.424
182,m1,112.2322
182,m2,115.9567
182,m3,39.7686
182,ca,49.3564
185,c1,89.031
185,c2,92.6198
185,c3,94.414
185,c4,95.4748
185,c5,96.368
185,m1,112.7928
185,m2,115.9567
185,m3,39.7686
185,ca,49.3564
187,c1,88.8066
187,c2,92.4512
187,c3,94.302
187,c4,95.4188
187,c5,96.3122
187,m1,113.2968
187,m2,115.9567
187,m3,39.7686
187,ca,49.3564
190,c1,88.5818
190,c2,92.3388
190,c3,94.1898
190,c4,95.307
190,c5,96.2004
190,m1,113.5772
190,m2,116.3495
190,m3,39.7686
190,ca,49.3564
193,c1,88.3574
193,c2,92.1702
193,c3,94.0776
193,c4,95.251
193,c5,96.1444
193,m1,114.138
193,m2,116.3495
193,m3,39.7686
193,ca,49.3564
196,c1,88.1328
196,c2,92.0578
196,c3,93.9652
196,c4,95.139
196,c5,96.0884
196,m1,114.587
196,m2,116.3495
196,m3,39.993
196,ca,49.3564
199,c1,87.9644
199,c2,91.8892
199,c3,93.909
199,c4,95.083
199,c5,96.0324
199,m1,114.9236
199,m2,116.5179
199,m3,39.993
199,ca,49.3564
201,c1,87.7396
201,c2,91.7768
201,c3,93.7968
201,c4,94.9712
201,c5,95.9204
201,m1,7.8368
201,m2,47.762
201,m3,31.4936
201,ca,49.3564
204,c1,87.515
204,c2,91.6082
204,c3,93.6846
204,c4,94.9154
204,c5,95.8644
204,m1,109.7708
204,m2,47.762
204,m3,31.4936
204,ca,49.3564
207,c1,87.2902
207,c2,91.4958
207,c3,93.5724
207,c4,94.8036
207,c5,95.8084
207,m1,109.919
207,m2,48.2542
207,m3,31.4144
207,ca,49.3564
210,c1,87.0656
210,c2,91.3274
210,c3,93.46
210,c4,94.7478
210,c5,95.7524
210,m1,110.6482
210,m2,48.2542
210,m3,31.4144
210,ca,49.3564
212,c1,86.8972
212,c2,91.215
212,c3,93.3476
212,c4,94.6358
212,c5,95.6964
212,m1,110.6482
212,m2,48.5348
212,m3,31.4144
212,ca,49.3564
215,c1,86.6726
215,c2,91.0466
215,c3,93.2354
215,c4,94.5798
215,c5,95.5844
215,m1,110.6482
215,m2,47.9478
215,m3,31.4144
215,ca,49.3564
217,c1,86.4482
217,c2,90.9344
217,c3,93.123
217,c4,94.468
217,c5,95.5284
217,m1,110.9846
217,m2,48.004
217,m3,31.4144
217,ca,49.3564
220,c1,86.2234
220,c2,90.766
220,c3,93.0106
220,c4,94.412
220,c5,95.4724
