height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
415,00a0eb41ebdb18457e5041903142d7690ced16b878ae798cbecc7b4cb8d9bd78,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689141,6,188,5,0
416,0055eaac5d67eb9ceefb1965fe4cb6d30f355743ac1f9a57fee72c5fc2eb4f41,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689151,4,187,5,0
417,0075179b8d7501c4571643219a5ed47095da758befe0177b68811de20e0e6ee3,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689160,3,186,5,0
418,00ca5f6a05a6182c4748619e1b4ab6673297630fcda0735b64fe39b806d8ba7c,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689169,5,185,5,0
419,00f8508caf38b879e7fe8b599d3df39ed4436512240244f28761cfc334d56c2f,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689183,6,184,5,0
420,00d4e37bb1c5d4456ff6ffee58425bece5aa7980610fbe2dfa42b39f9375bf92,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689190,3,183,5,0
421,0060b9a12e62f6ac64765ffc1df10bd3e0d0bea512b306c8db35ed9cd8630dc1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689197,4,182,5,0
422,00631678771adb81b43860578e14a9149d125e46d453ed78659caf3ae100cc65,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,m3,946689207,5,181,5,0
423,00a5ecf45c187be24edfe383fbbef6a8263f646d36372b221003f133a8dfcb40,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689220,4,180,5,0
424,0097f158902fcbea56bdf41f5820fb2c17b5760e42c155778bffb34e2b187ba7,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689235,7,179,5,0
425,0020e7088e5f2554c100a86de3b2b3a142a5b816ebeefb5ff97fca61c94bd5d2,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689241,5,178,5,0
426,00c62e251012e0863cf62ececd115ec5aba8f218f8bf0425fc7d6c1cc289d061,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689251,3,177,5,0
