tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
190,191,admin,12,8.833,10.000,+1.167,5.000,2000-01-01 00:32:01,5,run/data/admin/debug.log,1340
190,191,m1,12,8.833,10.000,+1.167,5.000,2000-01-01 00:31:50,6,run/data/m1/debug.log,6474
190,191,m2,12,8.833,10.000,+1.167,5.000,2000-01-01 00:31:49,6,run/data/m2/debug.log,3307
190,191,m3,12,8.833,10.000,+1.167,5.000,2000-01-01 00:31:49,6,run/data/m3/debug.log,2506
191,192,admin,12,9.083,10.000,+0.917,5.000,2000-01-01 00:32:12,2,run/data/admin/debug.log,1370
191,192,m1,12,9.083,10.000,+0.917,5.000,2000-01-01 00:32:01,3,run/data/m1/debug.log,6495
191,192,m2,12,9.083,10.000,+0.917,5.000,2000-01-01 00:32:01,3,run/data/m2/debug.log,3403
191,192,m3,12,9.083,10.000,+0.917,5.000,2000-01-01 00:32:02,3,run/data/m3/debug.log,2537
192,193,admin,12,9.250,10.000,+0.750,5.000,2000-01-01 00:32:28,5,run/data/admin/debug.log,1388
192,193,m1,12,9.250,10.000,+0.750,5.000,2000-01-01 00:32:12,6,run/data/m1/debug.log,6678
192,193,m2,12,9.250,10.000,+0.750,5.000,2000-01-01 00:32:13,6,run/data/m2/debug.log,3438
192,193,m3,12,9.250,10.000,+0.750,5.000,2000-01-01 00:32:13,6,run/data/m3/debug.log,2556
193,194,admin,12,9.917,10.000,+0.083,5.000,2000-01-01 00:32:38,2,run/data/admin/debug.log,1418
193,194,m1,12,9.917,10.000,+0.083,5.000,2000-01-01 00:32:27,3,run/data/m1/debug.log,7030
193,194,m2,12,9.917,10.000,+0.083,5.000,2000-01-01 00:32:28,3,run/data/m2/debug.log,3453
193,194,m3,12,10.000,10.000,+0.000,5.000,2000-01-01 00:32:28,3,run/data/m3/debug.log,2683
194,195,admin,12,10.250,10.000,-0.250,5.000,2000-01-01 00:32:53,5,run/data/admin/debug.log,1432
194,195,m1,12,10.250,10.000,-0.250,5.000,2000-01-01 00:32:38,6,run/data/m1/debug.log,7064
194,195,m2,12,10.250,10.000,-0.250,5.000,2000-01-01 00:32:37,6,run/data/m2/debug.log,3573
194,195,m3,12,10.250,10.000,-0.250,5.000,2000-01-01 00:32:38,6,run/data/m3/debug.log,2721
195,196,admin,12,11.000,10.000,-1.000,5.000,2000-01-01 00:33:04,2,run/data/admin/debug.log,1462
195,196,m1,12,11.000,10.000,-1.000,5.000,2000-01-01 00:32:53,3,run/data/m1/debug.log,8138
195,196,m2,12,11.000,10.000,-1.000,5.000,2000-01-01 00:32:53,3,run/data/m2/debug.log,3749
195,196,m3,12,11.000,10.000,-1.000,5.000,2000-01-01 00:32:53,3,run/data/m3/debug.log,2752
196,197,admin,12,11.250,10.000,-1.250,5.000,2000-01-01 00:33:18,2,run/data/admin/debug.log,1480
196,197,m1,12,11.250,10.000,-1.250,5.000,2000-01-01 00:33:04,3,run/data/m1/debug.log,8214
196,197,m2,12,11.250,10.000,-1.250,5.000,2000-01-01 00:33:05,3,run/data/m2/debug.log,3784
196,197,m3,12,11.250,10.000,-1.250,5.000,2000-01-01 00:33:05,3,run/data/m3/debug.log,2771
197,198,admin,12,11.417,10.000,-1.417,5.000,2000-01-01 00:33:26,2,run/data/admin/debug.log,1494
197,198,m1,12,11.417,10.000,-1.417,5.000,2000-01-01 00:33:19,3,run/data/m1/debug.log,8229
197,198,m2,12,11.417,10.000,-1.417,5.000,2000-01-01 00:33:18,3,run/data/m2/debug.log,3973
197,198,m3,12,11.417,10.000,-1.417,5.000,2000-01-01 00:33:19,3,run/data/m3/debug.log,2786
198,199,admin,12,11.333,10.000,-1.333,5.000,2000-01-01 00:33:33,2,run/data/admin/debug.log,1508
198,199,m1,12,11.333,10.000,-1.333,5.000,2000-01-01 00:33:26,3,run/data/m1/debug.log,8575
198,199,m2,12,11.333,10.000,-1.333,5.000,2000-01-01 00:33:27,3,run/data/m2/debug.log,3988
198,199,m3,12,11.333,10.000,-1.333,5.000,2000-01-01 00:33:26,3,run/data/m3/debug.log,2801
199,200,admin,12,10.667,10.000,-0.667,5.000,2000-01-01 00:33:44,2,run/data/admin/debug.log,1522
199,200,m1,12,10.667,10.000,-0.667,5.000,2000-01-01 00:33:32,3,run/data/m1/debug.log,8613
199,200,m2,12,10.667,10.000,-0.667,5.000,2000-01-01 00:33:33,3,run/data/m2/debug.log,4003
199,200,m3,12,10.667,10.000,-0.667,5.000,2000-01-01 00:33:34,3,run/data/m3/debug.log,2816
200,201,admin,12,10.833,10.000,-0.833,5.000,2000-01-01 00:33:55,2,run/data/admin/debug.log,1536
