run_id,livello,tbt,epoca,host,address,blocchi_epoca,quota_osservata_epoca,peso_epoca,quota_peso_epoca,W_tot_epoca,rapporto_Wtot_su_wi
run2-tbt-10s/continentale,continentale,10,17,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0.25,46111,0.25231,182754,3.963
run2-tbt-10s/continentale,continentale,10,17,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,3,0.25,13358,0.07309,182754,13.681
run2-tbt-10s/continentale,continentale,10,18,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,7,0.58333,115186,0.67236,171315,1.487
run2-tbt-10s/continentale,continentale,10,18,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0.25,43484,0.25382,171315,3.94
run2-tbt-10s/continentale,continentale,10,18,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,2,0.16667,12645,0.07381,171315,13.548
run2-tbt-10s/continentale,continentale,10,19,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,6,0.5,113689,0.66668,170531,1.5
run2-tbt-10s/continentale,continentale,10,19,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,6,0.5,43484,0.25499,170531,3.922
run2-tbt-10s/continentale,continentale,10,19,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0.0,13358,0.07833,170531,12.766
run2-tbt-10s/continentale,continentale,10,20,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,4,0.33333,113689,0.68723,165431,1.455
run2-tbt-10s/continentale,continentale,10,20,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,8,0.66667,38384,0.23202,165431,4.31
run2-tbt-10s/continentale,continentale,10,20,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0.0,13358,0.08075,165431,12.384
run2-tbt-10s/continentale,continentale,10,21,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,8,0.66667,98531,0.65468,150502,1.527
run2-tbt-10s/continentale,continentale,10,21,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,4,0.33333,41030,0.27262,150502,3.668
run2-tbt-10s/continentale,continentale,10,21,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0.0,10941,0.0727,150502,13.756
run2-tbt-10s/continentale,continentale,10,22,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0.75,121788,0.66565,182961,1.502
run2-tbt-10s/continentale,continentale,10,22,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0.25,46111,0.25203,182961,3.968
run2-tbt-10s/continentale,continentale,10,22,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0.0,15062,0.08232,182961,12.147
run2-tbt-10s/continentale,continentale,10,23,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,11,0.91667,105590,0.67839,155647,1.474
run2-tbt-10s/continentale,continentale,10,23,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,1,0.08333,38404,0.24674,155647,4.053
run2-tbt-10s/continentale,continentale,10,23,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0.0,11653,0.07487,155647,13.357
run2-tbt-10s/continentale,continentale,10,24,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0.75,115186,0.65313,176359,1.531
run2-tbt-10s/continentale,continentale,10,24,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,2,0.16667,46111,0.26146,176359,3.825
run2-tbt-10s/continentale,continentale,10,24,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0.08333,15062,0.08541,176359,11.709
run2-tbt-10s/continentale,continentale,10,25,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,7,0.58333,105590,0.67104,157352,1.49
run2-tbt-10s/continentale,continentale,10,25,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0.25,38404,0.24406,157352,4.097
run2-tbt-10s/continentale,continentale,10,25,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,2,0.16667,13358,0.08489,157352,11.78
run2-tbt-10s/continentale,continentale,10,26,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,11,0.91667,123285,0.6746,182754,1.482
run2-tbt-10s/continentale,continentale,10,26,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,0,0.0,46111,0.25231,182754,3.963
run2-tbt-10s/continentale,continentale,10,26,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0.08333,13358,0.07309,182754,13.681
run2-tbt-10s/continentale,continentale,10,27,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,4,0.33333,123285,0.6746,182754,1.482
run2-tbt-10s/continentale,continentale,10,27,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,4,0.33333,46111,0.25231,182754,3.963
run2-tbt-10s/continentale,continentale,10,27,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,4,0.33333,13358,0.07309,182754,13.681
run2-tbt-10s/continentale,continentale,10,28,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,0,0.0,123285,0.6746,182754,1.482
run2-tbt-10s/continentale,continentale,10,28,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,1,1.0,46111,0.25231,182754,3.963
