height,host,seq,txid_or_error
118,c3,18,78e7fd7fdeeac28a90515f1f22fa76c06b4769ed2affc0d6b27a4c08afd0484d
118,c1,35,34a19dc5fcbe92765e9b87fc6b147ac6b32369c78d539ad5bc4147c169800f4a
118,c5,12,ee0989cbc5543d9a74d8df12045077f5977d2b6ba2276dea6173c43aa6475258
119,c2,24,b6493b45138b8fcba1e067fd2ea84d5da2fd159f945b442924079b130b52348d
119,c4,15,cde857d436d8707bced5444de8474f64d1dbf8cb9e9b60055b3d2081ca93f175
119,c1,36,49d59059f1a7da5b64d4d43db4b5dedeca1c51bbd018a3b9defaa99878687c43
120,c3,19,158b4a1c5440f566baf702aacaa24fced97b8815603e603ef0666198838074f2
120,c2,25,032ec5e512458de5ace8c585bbc1cd321d46f20247a62acb758422896f79fc09
120,c1,37,c3598072d99e41fb2cdced0f06a7e5148ce484f71bc5cd39164470c879ad6a62
121,c1,38,91013f56f07faada27f159c5e1b4470b449e464533f8c82605922ce93c54eb05
122,c5,13,a6cb896db4399287e949b5eea5b342270f6a1ce5e6b07577113ee3ed399a4bc6
122,c4,16,362e751372a7441b79f6cddab318dfd2c45f267a807fd2439e444d6cc620b145
122,c2,26,e9b2cb6a8404513dfa71ba867340db2712a2757ba8e20e78648b131720f2a7a2
123,c3,20,2c9d8702f2c90a59ea789ca2ef092d6a62026d1ef75a7656367fc2502d27ea29
123,c1,39,38448fa22fa10c0f119526189f67a4c1d5ae83425d7993e3a46f9ac4cc433577
125,c2,27,5a80472a322acb705f7942f3704767a71bdd74dbde4de2d90c315b0b4a04578a
125,c1,40,ff3a2535fc24cc5c7f1fc7fdff9ec936b1ac14e4607066870fafdc0093ba9f8c
126,c4,17,6744602150f1b457f8cc39f046c53b4a3b44d4eba96ce9621b258aa8c3c6139b
126,c3,21,2cfbda865b9527d537ceb8b81a73431a9165ddfa5e70fb5c9d23c64e6b5d0670
126,c1,41,65c15f6cdcca0082ce8100b56433e43e522dbd4e4b3b13eac7391b86c173b496
127,c2,28,42ed921ac893046b9cd697e823c6ef7b50ab856e253ad6e8efb6624de54fbe85
127,c5,14,b280ca46bdfda92cdc3077b9dc5c046b54fa388a08c04efa61e7d8205efeb04b
128,c1,42,e3e3951c32ad60f66cf0a0ed416808d905a1f6d39b41d8ad4dfcfcd97f74259b
129,c3,22,30a5c22a64f85b033b5e969efe540b4a193b959c503088c3f86f072b04566f6c
129,c2,29,6a38ae86096b7ea6a2691c9479081fe5c2a8b41e42643a81e8ea977264e1c4e0
129,c1,43,7fd03003ca915c80551a14412d5fbb549d9d60cbef0a4ccdb02654bf1af790d8
130,c4,18,ecf55d2e7bcd634b2b9fb71cb19d44f7790b04a3fc54fa86c51d32fba7d13d8b
130,c1,44,dbfe19cfc87d8522798688505408255f784ff55bb1e8553f7f329acd153c87a9
131,c2,30,7e7a4cfd08c5f89a9c49c90b43ba78e7427f2475674d820b0c57d06ca22a129e
131,c5,15,0b859a62b954bcc3248688c6de365ee0abe6a0bdba26265a99c0ef6f2b755d1c
132,c3,23,6d500d73b38ee2a2e9bd70699ca0d36f0be18db1d215c14d5cd2ac675dcceb6c
132,c1,45,671159224dca4e047cbebf7390a53dbe20bdadeca5a9586ec1622d428de8a8a6
134,c4,19,98ea0613d122e1ad8dc33f04490e53cfb188af3abd82a33899d0a5c9c18b1815
134,c2,31,beaec711656e12b358a2cdf23c2586ad140fb1e6b5ed1edb94e2480f98ac42af
134,c1,46,629a21e0c5c9c9960b5234450e9d54220ee5a2f47fe67bc9239b6d4cb89c4f71
135,c3,24,f505c0b9ce5ddfee33a7bcadb5fdd45eef1aeca665757c6e09e6b5eace8155f4
135,c1,47,4a4980154549dfabe4bcb3b38293e60043d2f5087d773bdd7c793fcbc71d7de4
136,c2,32,3ae9b0392e88f8c27b0d74af386f76618244a10c5e145679d083b0da9e02e8cb
