experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,note,validator_i_host,validator_j_host
run4-tbt-3s,intercontinentale,1,3,none,true,24,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.11434136,0,12,12,not computable: a zero count in the epoch,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,24,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.96922712,0,12,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,25,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.92144245,0,0,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,25,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.13827377,0,12,12,not computable: a zero count in the epoch,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,25,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-2.05971622,0,12,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,26,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.75975274,0,1,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,26,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.0351974,0,11,12,not computable: a zero count in the epoch,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,26,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-2.39789527,-1.79495014,1,11,12,,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,27,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.7194432,1,0,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,27,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-2.39789527,-1.05600905,1,11,12,,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,27,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.77545226,0,11,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,28,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.82574131,3,0,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,28,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-1.09861229,-0.9858144,3,9,12,,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,28,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.8115557,0,9,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,29,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,-1.38629436,0.83598447,1,4,12,,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,29,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-1.94591015,-0.9093327,1,7,12,,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,29,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-0.55961579,-1.74531718,4,7,12,,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,30,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.99614742,0,0,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,30,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-0.97982244,0,12,12,not computable: a zero count in the epoch,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,30,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.97596986,0,12,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,31,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,1.01377725,0,0,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,31,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.05817848,0,12,12,not computable: a zero count in the epoch,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,31,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-2.07195573,0,12,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,32,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.83412894,1,0,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,32,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-2.39789527,-1.07144428,1,11,12,,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,32,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.90557323,0,11,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,33,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,0.69314718,0.71818301,2,1,12,,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,33,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-1.5040774,-1.04468098,2,9,12,,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,33,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-2.19722458,-1.76286399,1,9,12,,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,34,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.86529432,3,0,12,not computable: a zero count in the epoch,m2,m3
