sample_height,host,balance_gas
232,c3,98.322
232,c4,98.6012
232,c5,98.8252
232,m1,7.6225
232,m2,20.7803
232,m3,32.15
232,ca,49.356
241,c1,96.5864
241,c2,97.6508
241,c3,98.21
241,c4,98.4894
241,c5,98.7692
241,m1,7.0805
241,m2,9.2267
241,m3,26.2094
241,ca,49.356
251,c1,96.3626
251,c2,97.5388
251,c3,98.098
251,c4,98.4336
251,c5,98.7134
251,m1,108.5187
251,m2,109.1213
251,m3,26.216
251,ca,49.356
258,c1,96.139
258,c2,97.371
258,c3,97.986
258,c4,98.3218
258,c5,98.6574
258,m1,7.3709
258,m2,44.9211
258,m3,21.764
258,ca,49.356
267,c1,95.915
267,c2,97.203
267,c3,97.8742
267,c4,98.2658
267,c5,98.5456
267,m1,7.6578
267,m2,19.1232
267,m3,17.766
267,ca,49.356
276,c1,95.7474
276,c2,97.091
276,c3,97.7622
276,c4,98.1538
276,c5,98.4896
276,m1,7.0718
276,m2,119.1232
276,m3,117.766
276,ca,49.356
286,c1,95.5234
286,c2,96.923
286,c3,97.6504
286,c4,98.098
286,c5,98.4336
286,m1,108.3154
286,m2,48.6983
286,m3,94.4324
286,ca,49.356
295,c1,95.2998
295,c2,96.8112
295,c3,97.5386
295,c4,97.986
295,c5,98.3776
295,m1,8.0676
295,m2,20.5285
295,m3,75.7951
295,ca,49.356
305,c1,95.076
305,c2,96.6434
305,c3,97.4266
305,c4,97.93
305,c5,98.2658
305,m1,7.675
305,m2,9.3366
305,m3,60.7967
305,ca,49.356
314,c1,94.852
314,c2,96.5314
314,c3,97.3146
314,c4,97.8182
314,c5,98.21
314,m1,7.5273
314,m2,45.0014
314,m3,48.9924
314,ca,49.356
322,c1,94.6282
322,c2,96.3636
322,c3,97.2026
322,c4,97.7622
322,c5,98.154
322,m1,108.3143
322,m2,44.8956
322,m3,48.9162
322,ca,49.356
329,c1,94.4604
329,c2,96.2516
329,c3,97.1468
329,c4,97.6504
329,c5,98.098
329,m1,6.9871
329,m2,19.7658
329,m3,39.4116
329,ca,49.356
337,c1,94.2364
337,c2,96.0836
337,c3,97.0348
337,c4,97.5944
337,c5,98.0422
337,m1,108.1815
337,m2,119.5982
337,m3,39.4116
337,ca,49.356
346,c1,94.012
346,c2,95.9156
346,c3,96.923
346,c4,97.4826
346,c5,97.9306
346,m1,7.5733
346,m2,48.9445
346,m3,32.3755
346,ca,49.356
354,c1,93.7874
354,c2,95.8038
354,c3,96.8112
354,c4,97.4266
354,c5,97.8746
354,m1,7.6711
354,m2,20.6049
354,m3,26.1494
354,ca,49.356
363,c1,93.5628
363,c2,95.6358
363,c3,96.6992
363,c4,97.3146
363,c5,97.8186
363,m1,7.7773
363,m2,9.3084
363,m3,21.2745
363,ca,49.356
371,c1,93.3382
371,c2,95.5238
371,c3,96.5874
371,c4,97.2026
371,c5,97.7626
371,m1,108.6953
371,m2,109.2026
371,m3,21.1689
371,ca,49.356
380,c1,93.1696
380,c2,95.356
380,c3,96.4754
380,c4,97.1466
380,c5,97.6506
380,m1,8.1118
380,m2,44.8045
380,m3,17.1841
380,ca,49.356
389,c1,92.945
389,c2,95.2442
389,c3,96.3634
389,c4,97.0346
389,c5,97.5946
389,m1,7.2433
389,m2,19.5336
389,m3,94.1021
389,ca,49.356
399,c1,92.7202
399,c2,95.0766
399,c3,96.2514
399,c4,96.9786
399,c5,97.5386
399,m1,7.2811
399,m2,48.9261
399,m3,75.9678
399,ca,49.356
407,c1,92.4956
407,c2,94.9648
407,c3,96.1398
407,c4,96.8666
407,c5,97.4826
407,m1,108.0123
407,m2,49.0179
407,m3,75.8916
407,ca,49.356
415,c1,92.2708
415,c2,94.7968
415,c3,96.0278
415,c4,96.8108
415,c5,97.4266
415,m1,7.4788
415,m2,21.3178
415,m3,60.9625
415,ca,49.356
425,c1,92.0462
425,c2,94.6288
425,c3,95.916
