experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,epoch_buried,validator_host,validator_address,w_raw_start,w_raw_end,w_eff_start,w_eff_end,psi,p_theoretical_blockweighted,n_blocks,O_i,E_i,p_hat,wilson95_low,wilson95_high,p_theoretical_inside_wilson95,abs_error_p,share_changed_within_epoch
run3-tbt-5s,intercontinentale,1,5,none,true,20,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,22969,23161,22969.0,23161.0,1.0,0.23855592,12,2,2.862671,0.16666667,0.04696514,0.44803086,1,0.07188925,1
run3-tbt-5s,intercontinentale,1,5,none,true,20,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,7531,9948.0,7531.0,1.0,0.0927905,12,2,1.113486,0.16666667,0.04696514,0.44803086,1,0.07387617,1
run3-tbt-5s,intercontinentale,1,5,none,true,20,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,62099,68244,62099.0,68244.0,1.0,0.66865358,12,8,8.023843,0.66666667,0.39062209,0.86187991,1,0.00198692,1
run3-tbt-5s,intercontinentale,1,5,none,true,21,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,23161,23161,23161.0,23161.0,1.0,0.2397685,12,2,2.877222,0.16666667,0.04696514,0.44803086,1,0.07310183,1
run3-tbt-5s,intercontinentale,1,5,none,true,21,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,7531,8243,7531.0,8243.0,1.0,0.08113583,12,0,0.97363,0.0,0.0,0.24249401,1,0.08113583,1
run3-tbt-5s,intercontinentale,1,5,none,true,21,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,68244,62099,68244.0,62099.0,1.0,0.67909567,12,10,8.149148,0.83333333,0.55196914,0.95303486,1,0.15423767,1
run3-tbt-5s,intercontinentale,1,5,none,true,22,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,23161,22969,23161.0,22969.0,1.0,0.24521758,12,3,2.942611,0.25,0.08894167,0.53230533,1,0.00478242,1
run3-tbt-5s,intercontinentale,1,5,none,true,22,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,8243,9948,8243.0,9948.0,1.0,0.09504967,12,0,1.140596,0.0,0.0,0.24249401,1,0.09504967,1
run3-tbt-5s,intercontinentale,1,5,none,true,22,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,62099,62099,62099.0,62099.0,1.0,0.65973275,12,9,7.916793,0.75,0.46769467,0.91105833,1,0.09026725,1
run3-tbt-5s,intercontinentale,1,5,none,true,23,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,22969,25787,22969.0,25787.0,1.0,0.25331925,12,5,3.039831,0.41666667,0.19326031,0.68048869,1,0.16334742,1
run3-tbt-5s,intercontinentale,1,5,none,true,23,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,8243,9948.0,8243.0,1.0,0.096973,12,0,1.163676,0.0,0.0,0.24249401,1,0.096973,1
run3-tbt-5s,intercontinentale,1,5,none,true,23,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,62099,61643,62099.0,61643.0,1.0,0.64970775,12,7,7.796493,0.58333333,0.31951131,0.80673969,1,0.06637442,1
run3-tbt-5s,intercontinentale,1,5,none,true,24,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25787,25615,25787.0,25615.0,1.0,0.25814217,12,1,3.097706,0.08333333,0.01486509,0.35387991,1,0.17480883,1
run3-tbt-5s,intercontinentale,1,5,none,true,24,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,8243,9948,8243.0,9948.0,1.0,0.0894505,12,0,1.073406,0.0,0.0,0.24249401,1,0.0894505,1
run3-tbt-5s,intercontinentale,1,5,none,true,24,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,61643,70199,61643.0,70199.0,1.0,0.65240733,12,11,7.828888,0.91666667,0.64612009,0.98513491,1,0.26425933,1
run3-tbt-5s,intercontinentale,1,5,none,true,25,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25615,25787,25615.0,25787.0,1.0,0.2427075,12,0,2.91249,0.0,0.0,0.24249401,0,0.2427075,1
run3-tbt-5s,intercontinentale,1,5,none,true,25,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,9948,9948.0,9948.0,1.0,0.09399667,12,1,1.12796,0.08333333,0.01486509,0.35387991,1,0.01066333,1
run3-tbt-5s,intercontinentale,1,5,none,true,25,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,70199,70199,70199.0,70199.0,1.0,0.66329583,12,11,7.95955,0.91666667,0.64612009,0.98513491,1,0.25337083,1
run3-tbt-5s,intercontinentale,1,5,none,true,26,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25787,25615,25787.0,25615.0,1.0,0.25459458,12,2,3.055135,0.16666667,0.04696514,0.44803086,1,0.08792792,1
run3-tbt-5s,intercontinentale,1,5,none,true,26,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,7531,9948.0,7531.0,1.0,0.08788383,12,0,1.054606,0.0,0.0,0.24249401,1,0.08788383,1
run3-tbt-5s,intercontinentale,1,5,none,true,26,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,70199,61643,70199.0,61643.0,1.0,0.65752158,12,10,7.890259,0.83333333,0.55196914,0.95303486,1,0.17581175,1
run3-tbt-5s,intercontinentale,1,5,none,true,27,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25615,23161,25615.0,23161.0,1.0,0.25899658,12,2,3.107959,0.16666667,0.04696514,0.44803086,1,0.09232992,1
run3-tbt-5s,intercontinentale,1,5,none,true,27,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,7531,9948,7531.0,9948.0,1.0,0.08988208,12,1,1.078585,0.08333333,0.01486509,0.35387991,1,0.00654875,1
run3-tbt-5s,intercontinentale,1,5,none,true,27,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,61643,62099,61643.0,62099.0,1.0,0.65112133,12,9,7.813456,0.75,0.46769467,0.91105833,1,0.09887867,1
run3-tbt-5s,intercontinentale,1,5,none,true,28,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,23161,23161,23161.0,23161.0,1.0,0.23830867,12,0,2.859704,0.0,0.0,0.24249401,1,0.23830867,1
run3-tbt-5s,intercontinentale,1,5,none,true,28,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,8243,9948.0,8243.0,1.0,0.09526075,12,0,1.143129,0.0,0.0,0.24249401,1,0.09526075,1
run3-tbt-5s,intercontinentale,1,5,none,true,28,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,62099,68701,62099.0,68701.0,1.0,0.66643058,12,12,7.997167,1.0,0.75750599,1.0,0,0.33356942,1
run3-tbt-5s,intercontinentale,1,5,none,true,29,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,23161,20515,23161.0,20515.0,1.0,0.22883033,12,0,2.745964,0.0,0.0,0.24249401,1,0.22883033,1
run3-tbt-5s,intercontinentale,1,5,none,true,29,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,8243,9948,8243.0,9948.0,1.0,0.09355108,12,0,1.122613,0.0,0.0,0.24249401,1,0.09355108,1
run3-tbt-5s,intercontinentale,1,5,none,true,29,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,68701,60602,68701.0,60602.0,1.0,0.677619,12,12,8.131428,1.0,0.75750599,1.0,0,0.322381,1
run3-tbt-5s,intercontinentale,1,5,none,true,30,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,20515,25615,20515.0,25615.0,1.0,0.23232733,12,1,2.787928,0.08333333,0.01486509,0.35387991,1,0.148994,1
run3-tbt-5s,intercontinentale,1,5,none,true,30,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,9948,9948.0,9948.0,1.0,0.10291558,12,1,1.234987,0.08333333,0.01486509,0.35387991,1,0.01958225,1
run3-tbt-5s,intercontinentale,1,5,none,true,30,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,60602,70199,60602.0,70199.0,1.0,0.66475767,12,10,7.977092,0.83333333,0.55196914,0.95303486,1,0.16857567,1
run3-tbt-5s,intercontinentale,1,5,none,true,31,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25615,25787,25615.0,25787.0,1.0,0.25413167,12,0,3.04958,0.0,0.0,0.24249401,0,0.25413167,1
run3-tbt-5s,intercontinentale,1,5,none,true,31,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,5826,9948.0,5826.0,1.0,0.08036458,12,0,0.964375,0.0,0.0,0.24249401,1,0.08036458,1
run3-tbt-5s,intercontinentale,1,5,none,true,31,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,70199,63597,70199.0,63597.0,1.0,0.66550375,12,12,7.986045,1.0,0.75750599,1.0,0,0.33449625,1
run3-tbt-5s,intercontinentale,1,5,none,true,32,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25787,25615,25787.0,25615.0,1.0,0.26035592,12,1,3.124271,0.08333333,0.01486509,0.35387991,1,0.17702258,1
run3-tbt-5s,intercontinentale,1,5,none,true,32,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,5826,9948,5826.0,9948.0,1.0,0.07544975,12,1,0.905397,0.08333333,0.01486509,0.35387991,1,0.00788358,1
run3-tbt-5s,intercontinentale,1,5,none,true,32,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,63597,68701,63597.0,68701.0,1.0,0.66419433,12,10,7.970332,0.83333333,0.55196914,0.95303486,1,0.169139,1
run3-tbt-5s,intercontinentale,1,5,none,true,33,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25615,23161,25615.0,23161.0,1.0,0.236724,12,0,2.840688,0.0,0.0,0.24249401,1,0.236724,1
run3-tbt-5s,intercontinentale,1,5,none,true,33,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,9948,9948.0,9948.0,1.0,0.09577992,12,0,1.149359,0.0,0.0,0.24249401,1,0.09577992,1
run3-tbt-5s,intercontinentale,1,5,none,true,33,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,68701,70199,68701.0,70199.0,1.0,0.6674965,12,12,8.009958,1.0,0.75750599,1.0,0,0.3325035,1
run3-tbt-5s,intercontinentale,1,5,none,true,34,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,23161,25615,23161.0,25615.0,1.0,0.24487983,12,5,2.938558,0.41666667,0.19326031,0.68048869,1,0.17178683,1
run3-tbt-5s,intercontinentale,1,5,none,true,34,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,5826,9948.0,5826.0,1.0,0.08212375,12,1,0.985485,0.08333333,0.01486509,0.35387991,1,0.00120958,1
run3-tbt-5s,intercontinentale,1,5,none,true,34,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,70199,62099,70199.0,62099.0,1.0,0.672997,12,6,8.075964,0.5,0.2537816,0.7462184,1,0.172997,1
run3-tbt-5s,intercontinentale,1,5,none,true,35,0,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25615,25787,25615.0,25787.0,1.0,0.26116708,12,3,3.134005,0.25,0.08894167,0.53230533,1,0.01116708,1
run3-tbt-5s,intercontinentale,1,5,none,true,35,0,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,5826,9948,5826.0,9948.0,1.0,0.07546067,12,2,0.905528,0.16666667,0.04696514,0.44803086,1,0.091206,1
run3-tbt-5s,intercontinentale,1,5,none,true,35,0,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,62099,70199,62099.0,70199.0,1.0,0.66337225,12,7,7.960467,0.58333333,0.31951131,0.80673969,1,0.08003892,1
run3-tbt-5s,intercontinentale,1,5,none,true,36,0,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25787,25787,25787.0,25787.0,1.0,0.243425,2,0,0.48685,0.0,0.0,0.65761977,1,0.243425,0
run3-tbt-5s,intercontinentale,1,5,none,true,36,0,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,9948,9948.0,9948.0,1.0,0.093908,2,0,0.187816,0.0,0.0,0.65761977,1,0.093908,0
run3-tbt-5s,intercontinentale,1,5,none,true,36,0,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,70199,70199,70199.0,70199.0,1.0,0.662667,2,2,1.325334,1.0,0.34238023,1.0,1,0.337333,0
run3-tbt-5s,intercontinentale,1,5,none,true,all,0,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,,,,,1.0,0.24544859,323,54,79.279895,0.16718266,0.13045274,0.21173598,0,0.07826593,
run3-tbt-5s,intercontinentale,1,5,none,true,all,0,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,,,,,1.0,0.08986864,323,17,29.027572,0.05263158,0.033117,0.08266225,0,0.03723707,
run3-tbt-5s,intercontinentale,1,5,none,true,all,0,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,,,,,1.0,0.66468284,323,252,214.692557,0.78018576,0.73187617,0.82190914,0,0.11550292,
