height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
605,004f3c6ba3e6979426961493c60043f503d5f5503874d26ec735410e2a54b41c,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686276,3,54,51,0
606,0023e2937287360aa7c9252ad2ca489d912cbada0540a725a026787799dc0116,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686279,1,53,51,0
607,0092f0ce1b8a1fe5f95fd6459a7ead2f9a7bbc4b41638315fe80cdc305295319,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686282,5,52,51,0
608,00d7921d9c08dae089460d5046488c2d0a327fc890f1ecfe7e676cf3117435d9,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686285,3,51,51,0
609,00e8bd3fe966cb1ffc89f73ffc8702550b36449ebf586d96be78064403398f05,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686289,1,50,51,0
610,00d660d5ce96011b0d3155839d4e0529e14c1f77995903464387e7bedd2dd96b,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686291,2,49,51,0
611,00e75b7ca8bf3c31cfcf9612734239af21e07cdc0a1dbe2713aae69e7d606283,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686294,4,48,51,0
612,005f553840570ecea524853dd7419855ed31bd07d53477115770f76043078f0d,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686295,1,47,52,0
613,00806104b01ed0ec218fff35549ca56a14de91946013b2c7ffc22ec9d3410ae3,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686297,1,46,52,0
614,0097bae175096af37f06a1ee9f0892755e3c9052a980d95d4da57353d1a82013,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686298,1,45,52,0
615,00948b7729188c213723cca5e501fe95fa8e1f6bbb6f648c85aee8e387ab0ed8,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686301,6,44,52,0
616,00668b24a3de7e1c702c3436de2dab320c43bd3447e460f1a44db690165e6212,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686305,2,43,52,0
617,0055696b7d216caeef76aa22966d51ce27221b7082d176819a69c289bc3d3b44,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686308,1,42,52,0
618,00a59889394a138c477f050e29f7f5716035266ceb22144305313b0d1c038239,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686310,5,41,52,0
619,0086746052247874c7a8666ca634bb4d284fc957a817c2c99405856f78dbb688,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686312,1,40,52,0
620,0031b790faa7a6c67f521598fa660d8efca46e20f00b202f375011769b197e4b,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686316,4,39,52,0
621,00f105210268d9035a6ee6d302553fd66463231bd95039126d07f81c87f9608e,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686319,3,38,52,0
622,00f6081c1b9389e9d3864af21c1ae0a25bb0850a7cf466ad83ce66a92e517d6a,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686322,2,37,52,0
623,009915ce9de1e39bfd4b8111aa672224c263344c887df30433aedcccf6f636ec,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686324,1,36,52,0
624,001a95a461227a06596a77623437581a40b9bb90057b533b45f7e2be89bff902,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686327,3,35,53,0
625,00263d4a684d01c81283428524ad72bc6ef8a0aea8ab4921856bee5a84fe2fc0,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686329,2,34,53,0
626,00f64c799b3a943ecbd4c183319a79a11fac52390ea04af45501916f456bcd89,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686332,4,33,53,0
627,00afbddf67c7d687529ab06837829e91d75a550587078ecda6151c8ffa4a2bb4,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686336,2,32,53,0
628,002642c2ec7a8698282e67c837369ed9919268f5811fd4551694a6a0a11f9ae0,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686337,1,31,53,0
629,0044e9efd6e8c0467e8413281250d98b113605fb8bd5255de1bffe01e0dbd607,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686339,1,30,53,0
630,003099106aec2a0393bcec66242fef18804fcc360cd11c25e4dcceba92e41c9e,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686342,9,29,53,0
631,00b7ba20e285069e257a012e002eb2adde4e9ca20266149a3418c0971e1eed4a,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686344,1,28,53,0
632,00138eb81c518cb0fdab691a63e94db59aba01f705deaeeb7d5cdd79b56ff9e9,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686347,2,27,53,0
633,00d0db9b9136a0083b7daa3cbc62103e6fe726996401b921ff00eb5cd5fc74fb,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686350,2,26,53,0
634,00a25246e8fcd1106920e473b82900da0ef55d3cd1407da79c5fb55ab5c84073,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686353,2,25,53,0
635,0048f26e20c5b80911a6f80f4e4a0df816b1c20111603a69bf68ca30eee5c6de,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686355,1,24,53,0
636,00ab198d02f9f3615e0655dc2e991cd6fc04b1379352f791445b0b9da2d0cc0a,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686358,3,23,54,0
637,002bde68151d048b210ab273bdb4e3b81967c0dfaaae20db06a72b886fd0bdec,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686360,2,22,54,0
638,00fc4b5cb0e278adaf8268e09512cdc5b91897883a1f0e49173038e83395e4c7,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686363,4,21,54,0
639,005d7e4ad86f2f58892b1e330c541791e0f349e60684000db7e10d2aec45b157,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686365,4,20,54,0
640,00849c604c0b092a28626868b8fe7273a40bbd118ec87569fd0a81a05517048e,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686369,1,19,54,0
641,00056d1a5858dd78372e22b9e785e884f5749203685ec13c1e7794081962110a,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686372,1,18,54,0
642,00ed786a6459c31db3fa5cb24bf46680f37bf360254cdea85879289e31b16366,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686375,5,17,54,0
643,00f87efb8515b0a7c0c377daac8eccde2cc6d7632260856e7f8d607d72022e96,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686378,4,16,54,0
644,000c72bbdfaba4cc4cf6a4499333ed6d76a8201cbbb599164c17c46c0297b775,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686381,3,15,54,0
645,00ca68c061edec15568b6ca7afc6cbd28b2cbee6c2a48242dc8953bc1f378be6,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686384,1,14,54,0
646,006938da97cd11dbbf62de112185da14c679f9529b6b32ee30d59529ede70a7d,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686387,1,13,54,0
647,00a17d92cacc8fd2643facc5910dc32df05d3034b3cc120234e416ff07dcd5c0,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686391,5,12,54,0
648,00b98e3b712b143b433ac2a9c4188232ee2a3f87584dcadbf3e549b6ebcc7f08,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686394,1,11,55,0
649,0042719b2f71d876494682da8991aef28b553472270df36a8caf00711afa068e,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686396,1,10,55,0
650,00c2de20e5fec055cfc4cdc8e75c1126ea2ff303ba57605c037b0eb90ce4cf49,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686399,2,9,55,0
651,00104db7588306edd2ac76770a631d98ebd1f82dcb4b9f682564231df514bd65,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686402,6,8,55,0
652,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686403,1,7,55,0
653,00194bc59bbb694e88614f7e46e5e71faad3c89f4ab1339dc91450b09ce2937e,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686405,3,6,55,0
654,008934e94571d3704c2be5f3f4bc32a111661d94c92eb9f506311e78a005cb41,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686408,6,5,55,0
655,001dda5ff826cbb9aaa293ab9f121fe8811d2d15ff535e4425028b47a36ae88f,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686411,1,4,55,0
656,001e0dea6d14aa8fc5fb0f05002eef34731e0976abb50a95eef4da2987d889e8,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686413,3,3,55,0
657,0047751ed2e76f2067067f69fd86286d37d7d43b097348c62274ed9f3b70257d,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686415,2,2,55,0
658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686417,1,1,55,0
