tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
85,86,m3,12,14.917,15.000,+0.083,7.500,2000-01-01 00:21:46,6,run/data/m3/debug.log,1140
86,87,admin,12,15.000,15.000,+0.000,7.500,2000-01-01 00:22:26,5,run/data/admin/debug.log,1052
86,87,m1,12,15.000,15.000,+0.000,7.500,2000-01-01 00:22:02,6,run/data/m1/debug.log,7722
86,87,m2,12,15.000,15.000,+0.000,7.500,2000-01-01 00:22:02,6,run/data/m2/debug.log,4876
86,87,m3,12,15.000,15.000,+0.000,7.500,2000-01-01 00:22:03,6,run/data/m3/debug.log,1171
87,88,admin,12,15.083,15.000,-0.083,7.500,2000-01-01 00:22:47,2,run/data/admin/debug.log,1086
87,88,m1,12,15.083,15.000,-0.083,7.500,2000-01-01 00:22:26,3,run/data/m1/debug.log,7766
87,88,m2,12,15.000,15.000,+0.000,7.500,2000-01-01 00:22:25,3,run/data/m2/debug.log,5127
87,88,m3,12,15.000,15.000,+0.000,7.500,2000-01-01 00:22:26,3,run/data/m3/debug.log,1202
88,89,admin,12,15.083,15.000,-0.083,7.500,2000-01-01 00:23:05,2,run/data/admin/debug.log,1107
88,89,m1,12,15.083,15.000,-0.083,7.500,2000-01-01 00:22:46,3,run/data/m1/debug.log,7815
88,89,m2,12,15.083,15.000,-0.083,7.500,2000-01-01 00:22:47,3,run/data/m2/debug.log,5168
88,89,m3,12,15.083,15.000,-0.083,7.500,2000-01-01 00:22:47,3,run/data/m3/debug.log,1227
89,90,admin,12,15.917,15.000,-0.917,7.500,2000-01-01 00:23:26,2,run/data/admin/debug.log,1122
89,90,m1,12,15.917,15.000,-0.917,7.500,2000-01-01 00:23:06,3,run/data/m1/debug.log,7835
89,90,m2,12,15.917,15.000,-0.917,7.500,2000-01-01 00:23:05,3,run/data/m2/debug.log,5510
89,90,m3,12,15.917,15.000,-0.917,7.500,2000-01-01 00:23:06,3,run/data/m3/debug.log,1247
90,91,admin,12,16.750,15.000,-1.750,7.500,2000-01-01 00:23:36,2,run/data/admin/debug.log,1136
90,91,m1,12,16.750,15.000,-1.750,7.500,2000-01-01 00:23:27,3,run/data/m1/debug.log,7850
90,91,m2,12,16.750,15.000,-1.750,7.500,2000-01-01 00:23:26,3,run/data/m2/debug.log,5896
90,91,m3,12,16.750,15.000,-1.750,7.500,2000-01-01 00:23:27,3,run/data/m3/debug.log,1262
91,92,admin,12,15.833,15.000,-0.833,7.500,2000-01-01 00:23:58,2,run/data/admin/debug.log,1150
91,92,m1,12,15.833,15.000,-0.833,7.500,2000-01-01 00:23:37,3,run/data/m1/debug.log,7865
91,92,m2,12,15.833,15.000,-0.833,7.500,2000-01-01 00:23:37,3,run/data/m2/debug.log,5911
91,92,m3,12,15.833,15.000,-0.833,7.500,2000-01-01 00:23:36,3,run/data/m3/debug.log,1700
92,93,admin,12,16.250,15.000,-1.250,7.500,2000-01-01 00:24:13,2,run/data/admin/debug.log,1167
92,93,m1,12,16.250,15.000,-1.250,7.500,2000-01-01 00:23:59,3,run/data/m1/debug.log,7880
92,93,m2,12,16.250,15.000,-1.250,7.500,2000-01-01 00:23:58,3,run/data/m2/debug.log,5996
92,93,m3,12,16.250,15.000,-1.250,7.500,2000-01-01 00:23:59,3,run/data/m3/debug.log,1715
93,94,admin,12,16.417,15.000,-1.417,7.500,2000-01-01 00:24:25,2,run/data/admin/debug.log,1181
93,94,m1,12,16.417,15.000,-1.417,7.500,2000-01-01 00:24:12,3,run/data/m1/debug.log,7963
93,94,m2,12,16.417,15.000,-1.417,7.500,2000-01-01 00:24:13,3,run/data/m2/debug.log,6011
93,94,m3,12,16.417,15.000,-1.417,7.500,2000-01-01 00:24:13,3,run/data/m3/debug.log,1730
94,95,admin,12,16.417,15.000,-1.417,7.500,2000-01-01 00:24:40,2,run/data/admin/debug.log,1195
94,95,m1,12,16.417,15.000,-1.417,7.500,2000-01-01 00:24:24,3,run/data/m1/debug.log,8028
94,95,m2,12,16.417,15.000,-1.417,7.500,2000-01-01 00:24:25,3,run/data/m2/debug.log,6026
94,95,m3,12,16.417,15.000,-1.417,7.500,2000-01-01 00:24:25,3,run/data/m3/debug.log,1745
95,96,admin,12,16.750,15.000,-1.750,7.500,2000-01-01 00:24:50,2,run/data/admin/debug.log,1209
95,96,m1,12,16.750,15.000,-1.750,7.500,2000-01-01 00:24:40,3,run/data/m1/debug.log,8119
95,96,m2,12,16.750,15.000,-1.750,7.500,2000-01-01 00:24:41,3,run/data/m2/debug.log,6044
95,96,m3,12,16.750,15.000,-1.750,7.500,2000-01-01 00:24:41,3,run/data/m3/debug.log,1763
96,97,admin,12,16.250,15.000,-1.250,7.500,2000-01-01 00:25:05,2,run/data/admin/debug.log,1223
96,97,m1,12,16.250,15.000,-1.250,7.500,2000-01-01 00:24:51,3,run/data/m1/debug.log,8134
96,97,m2,12,16.250,15.000,-1.250,7.500,2000-01-01 00:24:51,3,run/data/m2/debug.log,6059
96,97,m3,12,16.250,15.000,-1.250,7.500,2000-01-01 00:24:49,3,run/data/m3/debug.log,1801
97,98,admin,12,16.667,15.000,-1.667,7.500,2000-01-01 00:25:27,2,run/data/admin/debug.log,1238
97,98,m1,12,16.667,15.000,-1.667,7.500,2000-01-01 00:25:06,3,run/data/m1/debug.log,8150
97,98,m2,12,16.667,15.000,-1.667,7.500,2000-01-01 00:25:05,3,run/data/m2/debug.log,6295
97,98,m3,12,16.667,15.000,-1.667,7.500,2000-01-01 00:25:06,3,run/data/m3/debug.log,1817
98,99,admin,12,17.083,15.000,-2.083,7.500,2000-01-01 00:25:39,2,run/data/admin/debug.log,1252
98,99,m1,12,17.083,15.000,-2.083,7.500,2000-01-01 00:25:27,3,run/data/m1/debug.log,9078
98,99,m2,12,17.083,15.000,-2.083,7.500,2000-01-01 00:25:28,3,run/data/m2/debug.log,6310
98,99,m3,12,17.083,15.000,-2.083,7.500,2000-01-01 00:25:28,3,run/data/m3/debug.log,1832
99,100,admin,12,16.000,15.000,-1.000,7.500,2000-01-01 00:25:54,2,run/data/admin/debug.log,1266
99,100,m1,12,16.000,15.000,-1.000,7.500,2000-01-01 00:25:38,3,run/data/m1/debug.log,9197
99,100,m2,12,16.000,15.000,-1.000,7.500,2000-01-01 00:25:39,3,run/data/m2/debug.log,6325
99,100,m3,12,16.000,15.000,-1.000,7.500,2000-01-01 00:25:39,3,run/data/m3/debug.log,1847
100,101,admin,12,15.583,15.000,-0.583,7.500,2000-01-01 00:26:07,2,run/data/admin/debug.log,1283
100,101,m1,12,15.583,15.000,-0.583,7.500,2000-01-01 00:25:54,3,run/data/m1/debug.log,9944
