tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
166,167,m3,12,3.417,3.000,-0.417,1.500,2000-01-01 00:08:50,3,run/data/m3/debug.log,2612
167,168,admin,12,3.667,3.000,-0.667,1.500,2000-01-01 00:09:00,2,run/data/admin/debug.log,1295
167,168,m1,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:56,3,run/data/m1/debug.log,8742
167,168,m2,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:56,3,run/data/m2/debug.log,2579
167,168,m3,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:55,3,run/data/m3/debug.log,2719
168,169,admin,12,3.833,3.000,-0.833,1.500,2000-01-01 00:09:04,5,run/data/admin/debug.log,1309
168,169,m1,12,3.833,3.000,-0.833,1.500,2000-01-01 00:09:00,6,run/data/m1/debug.log,8758
168,169,m2,12,3.833,3.000,-0.833,1.500,2000-01-01 00:09:00,6,run/data/m2/debug.log,2595
168,169,m3,12,3.833,3.000,-0.833,1.500,2000-01-01 00:08:59,6,run/data/m3/debug.log,2773
169,170,admin,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:08,5,run/data/admin/debug.log,1339
169,170,m1,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:05,6,run/data/m1/debug.log,8789
169,170,m2,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:04,6,run/data/m2/debug.log,2702
169,170,m3,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:04,6,run/data/m3/debug.log,4289
170,171,admin,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:13,5,run/data/admin/debug.log,1370
170,171,m1,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:09,6,run/data/m1/debug.log,8820
170,171,m2,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:08,6,run/data/m2/debug.log,2756
170,171,m3,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:08,6,run/data/m3/debug.log,4813
171,172,admin,12,4.167,3.000,-1.167,1.500,2000-01-01 00:09:17,9,run/data/admin/debug.log,1400
171,172,m1,12,4.167,3.000,-1.167,1.500,2000-01-01 00:09:14,10,run/data/m1/debug.log,8851
171,172,m2,12,4.167,3.000,-1.167,1.500,2000-01-01 00:09:12,10,run/data/m2/debug.log,3011
171,172,m3,12,4.250,3.000,-1.250,1.500,2000-01-01 00:09:13,10,run/data/m3/debug.log,4975
172,173,admin,12,4.250,3.000,-1.250,1.500,2000-01-01 00:09:19,2,run/data/admin/debug.log,1451
172,173,m1,12,4.250,3.000,-1.250,1.500,2000-01-01 00:09:17,3,run/data/m1/debug.log,9030
172,173,m2,12,4.250,3.000,-1.250,1.500,2000-01-01 00:09:17,3,run/data/m2/debug.log,3313
172,173,m3,12,4.250,3.000,-1.250,1.500,2000-01-01 00:09:17,3,run/data/m3/debug.log,5180
173,174,admin,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:24,5,run/data/admin/debug.log,1466
173,174,m1,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:20,6,run/data/m1/debug.log,9086
173,174,m2,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:19,6,run/data/m2/debug.log,3999
173,174,m3,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:20,6,run/data/m3/debug.log,5245
