experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,note,validator_i_host,validator_j_host
run4-tbt-3s,regionale,1,3,none,true,31,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,-0.40546511,-0.78633195,2,3,12,,m3,m2
run4-tbt-3s,regionale,1,3,none,true,31,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0.84729786,1.1385024,7,3,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,32,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-2.04015968,0,3,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,32,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.94333619,0,9,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,32,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,-1.09861229,1.09682349,3,9,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,33,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-0.40546511,-1.9637145,4,6,12,,m3,m1
run4-tbt-3s,regionale,1,3,none,true,33,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0.69314718,-0.99100998,4,2,12,,m3,m2
run4-tbt-3s,regionale,1,3,none,true,33,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,1.09861229,0.97270452,6,2,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,34,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-1.09861229,-1.85150693,3,9,12,,m3,m1
run4-tbt-3s,regionale,1,3,none,true,34,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.78544315,3,0,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,34,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,1.06606378,9,0,12,not computable: a zero count in the epoch,m1,m2
run4-tbt-3s,regionale,1,3,none,true,35,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-1.5040774,-1.83707173,2,9,12,,m3,m1
run4-tbt-3s,regionale,1,3,none,true,35,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0.69314718,-0.78641759,2,1,12,,m3,m2
run4-tbt-3s,regionale,1,3,none,true,35,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,2.19722458,1.05065414,9,1,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,36,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.92153472,0,12,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,36,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.87682477,0,0,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,36,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,1.04470996,12,0,12,not computable: a zero count in the epoch,m1,m2
run4-tbt-3s,regionale,1,3,none,true,37,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.9702277,0,11,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,37,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.9698567,0,1,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,37,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,2.39789527,1.00037099,11,1,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,38,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.77742871,0,12,12,not computable: a zero count in the epoch,m3,m1
