height,host,balance
117,m1,111.1154
117,m2,119.9875
117,m3,50.1146
117,ca,49.3568
119,c1,89.2138
119,c2,92.7404
119,c3,94.4758
119,c4,95.5368
119,c5,96.429
119,m1,111.5078
119,m2,119.9875
119,m3,50.1146
119,ca,49.3568
121,c1,88.9892
121,c2,92.5722
121,c3,94.4198
121,c4,95.4808
121,c5,96.317
121,m1,7.4936
121,m2,49.15
121,m3,40.4465
121,ca,49.3568
123,c1,88.7646
123,c2,92.4598
123,c3,94.308
123,c4,95.369
123,c5,96.2612
123,m1,108.6392
123,m2,49.15
123,m3,40.4465
123,ca,49.3568
125,c1,88.54
125,c2,92.2912
125,c3,94.1958
125,c4,95.313
125,c5,96.2052
125,m1,109.2562
125,m2,49.15
125,m3,40.4465
125,ca,49.3568
126,c1,88.3152
126,c2,92.1788
126,c3,94.0836
126,c4,95.201
126,c5,96.1492
126,m1,109.1504
126,m2,49.3806
126,m3,40.4465
126,ca,49.3568
128,c1,88.1468
128,c2,92.0102
128,c3,93.9714
128,c4,95.145
128,c5,96.0932
128,m1,109.1504
128,m2,50.2098
128,m3,40.4465
128,ca,49.3568
130,c1,87.9226
130,c2,91.8978
130,c3,93.8592
130,c4,95.033
130,c5,95.9814
130,m1,109.375
130,m2,50.5464
130,m3,40.4465
130,ca,49.3568
132,c1,87.6978
132,c2,91.7292
132,c3,93.7468
132,c4,94.9772
132,c5,95.9254
132,m1,7.1564
132,m2,21.3438
132,m3,32.712
132,ca,49.3568
134,c1,87.4732
134,c2,91.6168
134,c3,93.6344
134,c4,94.8652
134,c5,95.8696
134,m1,107.493
134,m2,21.9292
134,m3,32.712
134,ca,49.3568
136,c1,87.2492
136,c2,91.4484
136,c3,93.522
136,c4,94.8092
136,c5,95.8136
136,m1,108.2224
136,m2,21.9292
136,m3,32.712
136,ca,49.3568
137,c1,87.0806
137,c2,91.2798
137,c3,93.4096
137,c4,94.6974
137,c5,95.7576
137,m1,108.1166
137,m2,21.8528
137,m3,33.0286
137,ca,49.3568
139,c1,86.856
139,c2,91.1674
139,c3,93.3534
139,c4,94.6414
139,c5,95.646
139,m1,108.7114
139,m2,22.1894
139,m3,33.0286
139,ca,49.3568
141,c1,86.6314
141,c2,90.9988
141,c3,93.2412
141,c4,94.5296
141,c5,95.59
141,m1,108.7114
141,m2,22.582
141,m3,33.6456
141,ca,49.3568
144,c1,86.407
144,c2,90.8866
144,c3,93.1288
144,c4,94.4736
144,c5,95.534
144,m1,7.162
144,m2,9.8628
144,m3,27.2713
144,ca,49.3568
146,c1,86.1822
146,c2,90.7182
146,c3,93.0166
146,c4,94.3618
146,c5,95.4782
146,m1,108.534
146,m2,109.8628
146,m3,27.2713
146,ca,49.3568
148,c1,86.0138
148,c2,90.606
148,c3,92.9044
148,c4,94.3058
148,c5,95.3664
148,m1,108.534
148,m2,109.8628
148,m3,27.7759
148,ca,49.3568
150,c1,85.7892
150,c2,90.4378
150,c3,92.7922
150,c4,94.1934
150,c5,95.3106
150,m1,109.0184
150,m2,109.757
150,m3,27.6999
150,ca,49.3568
152,c1,85.5646
152,c2,90.3254
152,c3,92.68
152,c4,94.1372
152,c5,95.2546
152,m1,109.8936
152,m2,109.757
152,m3,27.6999
152,ca,49.3568
155,c1,85.34
155,c2,90.1568
155,c3,92.5676
155,c4,94.0248
155,c5,95.1988
155,m1,109.8936
155,m2,110.655
155,m3,27.6999
155,ca,49.3568
157,c1,85.1156
157,c2,90.0444
157,c3,92.4552
157,c4,93.9686
157,c5,95.1428
157,m1,7.2823
157,m2,45.4842
157,m3,22.5149
157,ca,49.3568
158,c1,84.9474
158,c2,89.8758
158,c3,92.343
158,c4,93.8562
158,c5,95.031
158,m1,108.1025
158,m2,45.4842
158,m3,22.5149
158,ca,49.3568
160,c1,84.7228
160,c2,89.7638
160,c3,92.2868
160,c4,93.8
160,c5,94.975
160,m1,108.4843
160,m2,45.9894
160,m3,22.5149
160,ca,49.3568
163,c1,84.4984
163,c2,89.5956
163,c3,92.1744
163,c4,93.688
163,c5,94.919
163,m1,109.5141
163,m2,45.9132
163,m3,22.5149
163,ca,49.3568
165,c1,84.2736
165,c2,89.427
165,c3,92.062
165,c4,93.5758
165,c5,94.863
165,m1,109.7947
165,m2,45.9132
165,m3,22.5149
165,ca,49.3568
167,c1,84.049
167,c2,89.3146
167,c3,91.9496
167,c4,93.5198
167,c5,94.751
167,m1,110.1313
167,m2,46.3064
167,m3,22.5149
167,ca,49.3568
169,c1,83.8242
169,c2,89.1462
169,c3,91.8376
169,c4,93.4076
169,c5,94.695
169,m1,7.4468
169,m2,19.6774
169,m3,18.3669
169,ca,49.3568
172,c1,83.6562
172,c2,89.0338
172,c3,91.7254
172,c4,93.3514
172,c5,94.639
172,m1,108.8246
172,m2,119.6774
172,m3,118.3669
172,ca,49.3568
173,c1,83.4314
173,c2,88.8652
173,c3,91.613
173,c4,93.2392
173,c5,94.5832
173,m1,108.8868
173,m2,119.5714
173,m3,118.2615
173,ca,49.3568
175,c1,83.2066
175,c2,88.7528
175,c3,91.5006
175,c4,93.183
175,c5,94.5274
175,m1,108.8868
175,m2,120.6188
175,m3,118.2615
175,ca,49.3568
