height,epoch,in_setup,host,address,score_raw,delay_logged_s,start_in_s,log_timestamp,duplicate_index,source_file,source_line
82,7,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,0.000104553313,14.917,14.917,2000-01-01 00:13:40,0,run/data/m3/debug.log,947
83,7,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,8.17920125e-06,12.304,12.304,2000-01-01 00:13:54,0,run/data/m1/debug.log,3490
83,7,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,1.72581366e-06,7.370,7.370,2000-01-01 00:13:53,0,run/data/m2/debug.log,2673
83,7,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,5.40496215e-05,14.882,14.882,2000-01-01 00:13:54,0,run/data/m3/debug.log,962
84,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1.49788065e-06,7.114,7.114,2000-01-01 00:14:02,0,run/data/m1/debug.log,3505
84,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,2.82682271e-06,8.656,8.656,2000-01-01 00:14:01,0,run/data/m2/debug.log,3020
84,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,1.90876844e-05,14.493,14.493,2000-01-01 00:14:01,0,run/data/m3/debug.log,977
85,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1.77749945e-05,14.407,14.407,2000-01-01 00:14:09,0,run/data/m1/debug.log,3766
85,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,2.60371956e-05,14.799,14.799,2000-01-01 00:14:09,0,run/data/m2/debug.log,3044
85,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,8.13591327e-05,14.933,14.933,2000-01-01 00:14:10,0,run/data/m3/debug.log,1008
86,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,9.73135709e-06,12.855,12.855,2000-01-01 00:14:25,0,run/data/m1/debug.log,4218
86,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,1.58931905e-05,14.131,14.131,2000-01-01 00:14:25,0,run/data/m2/debug.log,3116
86,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,0.000479129912,14.850,14.850,2000-01-01 00:14:25,0,run/data/m3/debug.log,1040
87,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1.49172776e-05,14.038,14.038,2000-01-01 00:14:38,0,run/data/m1/debug.log,4762
87,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,7.3021724e-06,11.900,11.900,2000-01-01 00:14:39,0,run/data/m2/debug.log,3157
87,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,0.0001122706,14.883,14.883,2000-01-01 00:14:39,0,run/data/m3/debug.log,1065
88,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,3.46277706e-06,9.165,9.165,2000-01-01 00:14:52,0,run/data/m1/debug.log,4777
88,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,2.59025287e-05,14.663,14.663,2000-01-01 00:14:51,0,run/data/m2/debug.log,3284
88,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,1.08156724e-05,13.133,13.133,2000-01-01 00:14:52,0,run/data/m3/debug.log,1080
89,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1.05377727e-06,6.385,6.385,2000-01-01 00:15:02,0,run/data/m1/debug.log,5123
89,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,1.56141291e-05,14.031,14.031,2000-01-01 00:15:03,0,run/data/m2/debug.log,3299
89,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,2.82708015e-05,14.691,14.691,2000-01-01 00:15:03,0,run/data/m3/debug.log,1095
90,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,5.79782501e-06,11.040,11.040,2000-01-01 00:15:09,0,run/data/m1/debug.log,5168
90,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,1.63643463e-05,14.202,14.202,2000-01-01 00:15:10,0,run/data/m2/debug.log,3314
90,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,7.35912378e-05,14.867,14.867,2000-01-01 00:15:09,0,run/data/m3/debug.log,1110
91,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,8.92884504e-07,6.167,6.167,2000-01-01 00:15:21,0,run/data/m1/debug.log,5308
91,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,6.44670349e-05,14.816,14.816,2000-01-01 00:15:22,0,run/data/m2/debug.log,3334
91,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,7.14800199e-06,11.685,11.685,2000-01-01 00:15:22,0,run/data/m3/debug.log,1130
92,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,7.10396974e-06,11.696,11.696,2000-01-01 00:15:28,0,run/data/m1/debug.log,5453
