sample_height,host,balance_gas
235,m3,49.0564
235,ca,49.3572
238,c1,84.5972
238,c2,89.7018
238,c3,92.2232
238,c4,93.7396
238,c5,94.9702
238,m1,108.5827
238,m2,46.8032
238,m3,49.0564
238,ca,49.3572
240,c1,84.4288
240,c2,89.5332
240,c3,92.111
240,c4,93.6274
240,c5,94.8582
240,m1,7.0187
240,m2,20.123
240,m3,39.5999
240,ca,49.3572
243,c1,84.2044
243,c2,89.4208
243,c3,91.9986
243,c4,93.5712
243,c5,94.8022
243,m1,107.6891
243,m2,20.5162
243,m3,39.5999
243,ca,49.3572
247,c1,83.98
247,c2,89.2526
247,c3,91.8862
247,c4,93.459
247,c5,94.7462
247,m1,107.9497
247,m2,21.0046
247,m3,39.5245
247,ca,49.3572
249,c1,83.7552
249,c2,89.1402
249,c3,91.7738
249,c4,93.4028
249,c5,94.6904
249,m1,108.5669
249,m2,21.0046
249,m3,39.5245
249,ca,49.3572
252,c1,83.5866
252,c2,88.9716
252,c3,91.6614
252,c4,93.2906
252,c5,94.6344
252,m1,7.0726
252,m2,9.2618
252,m3,31.9746
252,ca,49.3572
255,c1,83.362
255,c2,88.8592
255,c3,91.6052
255,c4,93.2344
255,c5,94.5224
255,m1,108.5588
255,m2,109.2618
255,m3,31.9746
255,ca,49.3572
258,c1,83.1372
258,c2,88.691
258,c3,91.493
258,c4,93.122
258,c5,94.4666
258,m1,108.8754
258,m2,109.2682
258,m3,31.9746
258,ca,49.3572
261,c1,82.9126
261,c2,88.5788
261,c3,91.3808
261,c4,93.0658
261,c5,94.4106
261,m1,108.8754
261,m2,110.0116
261,m3,31.9746
261,ca,49.3572
264,c1,82.688
264,c2,88.4106
264,c3,91.2684
264,c4,92.9534
264,c5,94.3546
264,m1,7.0904
264,m2,45.1594
264,m3,25.9345
264,ca,49.3572
266,c1,82.5196
266,c2,88.2982
266,c3,91.1562
266,c4,92.8972
266,c5,94.2988
266,m1,108.0126
266,m2,45.1594
266,m3,25.9345
266,ca,49.3572
269,c1,82.2948
269,c2,88.1296
269,c3,91.0438
269,c4,92.785
269,c5,94.1864
269,m1,108.6304
269,m2,45.2776
269,m3,25.8587
269,ca,49.3572
272,c1,82.07
272,c2,88.0172
272,c3,90.9316
272,c4,92.7288
272,c5,94.1302
272,m1,108.9676
272,m2,45.7404
272,m3,25.8587
272,ca,49.3572
275,c1,81.8456
275,c2,87.8486
275,c3,90.8192
275,c4,92.6166
275,c5,94.074
275,m1,109.6416
275,m2,45.7404
275,m3,25.8587
275,ca,49.3572
278,c1,81.6772
278,c2,87.7364
278,c3,90.763
278,c4,92.5604
278,c5,94.0178
278,m1,7.1589
278,m2,20.2218
278,m3,21.0418
278,ca,49.3572
280,c1,81.4524
280,c2,87.5678
280,c3,90.651
280,c4,92.4482
280,c5,93.9618
280,m1,107.6533
280,m2,20.2218
280,m3,21.0418
280,ca,49.3572
282,c1,81.2276
282,c2,87.4554
282,c3,90.5388
282,c4,92.392
282,c5,93.8494
282,m1,108.1943
282,m2,20.1156
282,m3,20.9662
282,ca,49.3572
285,c1,81.0028
285,c2,87.2872
285,c3,90.4264
285,c4,92.28
285,c5,93.7934
285,m1,108.8461
285,m2,20.3962
285,m3,20.9662
285,ca,49.3572
288,c1,80.8344
288,c2,87.1748
288,c3,90.3142
288,c4,92.2238
288,c5,93.7374
288,m1,7.0274
288,m2,20.6768
288,m3,20.9662
288,ca,49.3572
291,c1,80.6098
291,c2,87.0064
291,c3,90.2018
291,c4,92.1114
291,c5,93.6814
291,m1,107.3644
291,m2,10.1259
291,m3,17.1278
291,ca,49.3572
294,c1,80.385
294,c2,86.8378
294,c3,90.0894
