experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_host,validator_address,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,MissedTurnRate,MissedTurnRate_note,n_rounds_won_not_argmin,blocks_won
run5-tbt-2s,intercontinentale,1,2,none,true,32,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,6,1,0.16666667,,0,5
run5-tbt-2s,intercontinentale,1,2,none,true,32,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,2,0,0.0,,0,2
run5-tbt-2s,intercontinentale,1,2,none,true,32,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,4,0,0.0,,1,5
run5-tbt-2s,intercontinentale,1,2,none,true,33,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,8,1,0.125,,3,10
run5-tbt-2s,intercontinentale,1,2,none,true,33,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,0,0.0,,1,2
run5-tbt-2s,intercontinentale,1,2,none,true,33,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,3,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,34,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,7,0,0.0,,5,12
run5-tbt-2s,intercontinentale,1,2,none,true,34,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,34,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,5,5,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,35,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,10,0,0.0,,2,12
run5-tbt-2s,intercontinentale,1,2,none,true,35,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,35,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,2,2,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,36,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,9,0,0.0,,3,12
run5-tbt-2s,intercontinentale,1,2,none,true,36,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
