run_id,livello,tbt,host,address,epoca,peso,height
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,13,91627,161
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,13,44664,161
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,13,11099,161
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,14,91646,173
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,14,12849,173
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,14,44838,173
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,1,1,18
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,1,1,18
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,1,1,18
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,2,4980,29
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,2,2418,29
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,2,4390,29
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,3,24749,41
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,3,7967,41
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,3,47146,41
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,4,89605,53
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,4,12849,53
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,4,44838,53
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,5,96314,65
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,5,48785,65
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,6,12435,77
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,7,44664,89
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,7,14185,89
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,7,98336,89
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,8,98356,101
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,8,51027,101
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,9,48785,113
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,9,12435,113
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,9,98941,113
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,10,12849,125
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,10,93688,125
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,11,38475,137
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,11,82895,137
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,12,103024,149
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,12,12435,149
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,12,51027,149
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,13,91646,161
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,13,12849,161
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,13,44838,161
run2-tbt-10s/continentale,continentale,10,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,1,1,27
run2-tbt-10s/continentale,continentale,10,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,1,1,27
run2-tbt-10s/continentale,continentale,10,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,1,27
run2-tbt-10s/continentale,continentale,10,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,9050,41
run2-tbt-10s/continentale,continentale,10,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,3,20933,41
run2-tbt-10s/continentale,continentale,10,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,3,5330,41
run2-tbt-10s/continentale,continentale,10,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,4,41030,53
run2-tbt-10s/continentale,continentale,10,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,4,107087,53
run2-tbt-10s/continentale,continentale,10,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,4,13358,53
run2-tbt-10s/continentale,continentale,10,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,5,112191,65
run2-tbt-10s/continentale,continentale,10,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,5,38404,65
run2-tbt-10s/continentale,continentale,10,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,6,41030,77
run2-tbt-10s/continentale,continentale,10,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,6,105590,77
run2-tbt-10s/continentale,continentale,10,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,6,9236,77
run2-tbt-10s/continentale,continentale,10,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,7,116683,89
run2-tbt-10s/continentale,continentale,10,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,7,46111,89
run2-tbt-10s/continentale,continentale,10,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,7,15062,89
